SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq100K.5
0,0,1,0,1,0,0,1,1,1,1,0,1,0,388.58
0,1,1,1,1,0,0,1,1,1,1,1,1,1,399.65
1,0,0,1,1,1,0,1,0,1,1,1,0,1,398.68
0,0,0,1,0,0,1,0,0,1,1,1,1,1,402.42
1,0,0,0,1,1,1,0,0,0,0,0,0,0,387.43
1,1,0,1,0,1,1,0,1,1,0,0,0,1,393.14
1,1,1,0,1,0,1,1,0,0,1,1,0,1,399.39
0,0,1,0,0,0,0,0,1,0,0,0,0,1,390.63
1,1,0,1,1,0,1,0,1,1,1,1,1,1,401.99
0,0,1,1,1,1,0,1,0,0,0,1,0,1,396.72
0,0,1,1,1,1,1,0,1,0,0,1,0,0,399.79
0,1,1,1,0,0,0,0,0,1,1,1,1,1,397.43
0,1,1,0,1,1,0,0,1,1,1,1,0,1,406.34
1,0,0,1,1,1,1,0,0,1,0,1,0,0,406.32
0,1,0,1,1,1,1,1,1,0,0,1,1,1,398.25
1,0,1,1,0,0,0,0,0,0,1,1,1,0,402.15
1,1,0,0,0,1,0,1,0,1,1,1,0,1,402.15
0,1,0,0,0,0,0,1,1,0,0,0,0,1,388.18
0,1,1,0,1,0,1,0,0,0,0,1,1,1,399.35
1,0,1,1,0,0,0,0,1,1,1,0,0,0,391.89
1,1,1,0,1,1,0,1,1,0,0,1,0,1,397.42
0,1,1,1,1,1,1,0,0,1,0,0,0,0,390.58
1,0,1,0,1,1,0,1,1,1,1,1,1,0,399.89
0,0,1,0,1,0,0,1,1,0,0,1,0,0,406.85
1,0,0,1,1,1,0,1,0,1,0,0,1,0,392.6
1,0,1,1,1,0,0,0,1,0,0,1,0,1,398.11
1,0,0,0,1,1,1,1,1,1,1,1,0,0,403.64
0,0,0,0,1,0,0,1,0,0,0,0,1,0,389.14
0,1,1,0,0,0,1,0,0,1,1,1,1,1,405.39
0,1,1,1,0,1,1,0,1,1,0,1,0,0,402.21
0,0,0,0,1,1,1,1,1,0,0,1,1,1,398.65
1,1,1,0,0,1,1,0,1,0,0,1,1,1,397.18
0,1,1,0,0,1,1,0,1,0,0,0,0,0,388.29
1,1,1,0,0,1,0,1,1,1,1,0,1,0,390.23
0,1,1,1,0,1,0,0,1,0,0,0,1,0,399.57
1,1,1,1,0,1,0,0,1,0,1,1,1,1,399.14
1,1,1,0,1,0,1,1,0,1,1,1,0,0,398.86
1,1,0,1,0,0,1,0,0,0,0,1,0,0,396.86
1,1,0,0,1,0,0,0,1,1,1,0,1,1,389.17
1,1,0,0,0,1,0,1,0,0,0,1,0,0,403.46
0,1,0,1,1,1,1,0,0,1,1,0,0,0,391.81
0,1,0,0,1,1,0,0,0,0,0,1,1,1,402.13
0,0,1,0,1,1,1,1,0,1,0,0,1,0,390.52
0,0,0,0,0,1,1,1,1,0,1,0,1,1,396.47
0,1,1,1,1,1,0,0,0,1,0,1,0,1,406.12
1,1,1,1,1,0,1,0,1,0,0,1,1,1,397.12
0,1,1,1,0,1,1,0,0,1,1,0,1,1,392.88
0,0,0,0,0,0,1,0,1,0,1,0,0,0,391.29
