SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrand100K.4
0,1,1,1,0,1,1,0,0,1,1,0,1,1,696.74
0,0,0,0,0,0,1,0,1,0,1,0,0,0,698.69
0,0,0,1,0,0,0,0,1,0,1,0,0,1,711.49
0,1,0,0,0,0,0,0,0,1,1,0,1,1,702.0
1,1,0,0,1,1,1,1,1,1,1,0,0,1,703.2
0,1,0,1,0,0,1,0,1,0,0,0,1,0,706.95
1,1,1,1,0,0,1,0,0,1,1,1,0,1,713.78
1,1,0,1,0,0,0,0,0,1,1,0,1,0,704.06
1,0,0,1,1,1,1,1,0,0,0,0,0,1,703.84
0,0,0,1,0,1,1,1,1,0,0,1,0,1,697.42
1,1,0,0,0,0,1,0,1,1,0,0,1,0,706.97
0,0,0,1,1,1,0,1,1,0,1,0,1,0,701.95
1,1,0,0,1,1,1,1,0,0,1,0,1,1,702.14
0,1,0,1,0,1,0,1,1,1,0,1,0,1,709.9
0,0,1,1,1,0,0,0,0,1,1,1,1,1,705.7
1,0,0,0,1,0,1,1,1,0,0,1,1,0,713.73
0,0,1,1,1,1,1,1,0,0,1,1,0,1,722.93
0,0,1,1,0,0,1,1,1,1,1,0,1,1,702.25
0,1,0,0,1,1,1,0,0,1,1,1,1,1,709.44
1,0,1,0,1,1,0,1,1,0,0,0,0,1,700.82
0,1,1,0,1,0,1,1,0,0,0,0,0,0,696.93
1,0,0,0,0,0,1,1,0,0,0,1,1,0,718.62
1,1,1,1,1,1,1,0,1,0,1,0,0,0,703.23
0,0,0,1,0,1,1,0,1,1,0,0,0,1,701.39
1,0,0,1,1,0,0,1,0,1,1,0,0,0,708.53
1,0,0,1,0,0,1,0,0,0,1,0,1,0,708.27
1,1,1,0,0,1,0,0,0,0,0,1,1,0,716.95
1,1,0,1,1,1,1,0,0,0,1,0,1,1,707.42
1,0,1,1,0,1,0,1,0,1,1,1,1,0,716.62
1,0,1,1,1,0,0,0,1,1,1,1,1,0,705.24
1,0,1,0,0,1,0,0,1,0,1,0,0,0,730.15
0,0,1,0,0,0,1,1,1,1,0,1,1,1,707.96
0,1,1,1,0,1,0,1,1,0,0,0,0,0,702.96
0,0,1,0,0,0,1,1,1,0,1,1,1,1,709.05
0,1,0,0,1,0,0,1,1,0,1,1,0,1,711.71
1,1,1,1,0,1,1,0,1,0,1,1,1,0,704.67
1,1,0,0,1,0,1,1,0,1,1,0,0,1,707.95
1,0,1,1,1,1,0,1,1,1,1,1,1,1,714.59
0,0,1,1,1,0,1,0,1,1,1,1,1,0,706.34
0,1,0,1,1,1,1,1,1,0,1,0,1,1,709.5
0,0,0,0,0,1,1,0,1,1,1,0,1,0,701.62
1,0,0,0,0,0,1,1,0,1,1,0,1,0,705.18
0,0,0,1,0,0,0,0,0,1,0,0,1,1,714.62
1,1,0,1,0,0,1,1,1,0,0,1,1,1,711.23
1,0,0,0,1,1,1,1,0,0,0,1,0,1,706.89
1,0,1,0,1,0,1,1,0,1,0,1,0,0,701.92
1,0,1,0,1,1,0,1,0,1,1,1,0,1,711.65
1,0,1,1,0,0,0,0,1,1,1,1,1,0,705.02
0,0,1,0,1,1,1,0,0,0,0,0,1,0,705.1
0,1,0,1,1,1,1,1,1,1,1,0,1,0,708.64
0,1,0,1,0,0,0,0,0,0,1,0,1,0,703.39
1,0,0,1,0,0,1,1,0,1,1,1,0,1,708.39
0,1,0,0,0,0,0,0,1,1,0,0,0,1,717.47
0,0,1,0,0,1,1,0,1,1,1,1,0,0,703.1
1,0,1,1,0,1,1,1,1,0,0,0,1,1,705.1
0,1,0,0,1,1,1,1,0,0,0,1,1,0,705.72
1,1,0,0,0,0,0,1,1,1,0,1,0,0,716.53
0,0,1,1,0,1,1,1,0,0,0,1,1,0,707.47
1,0,1,0,0,0,1,1,1,0,1,0,0,1,709.77
0,1,1,0,0,1,0,0,0,1,1,0,0,1,707.96
1,1,0,0,0,0,0,0,0,0,0,1,1,1,707.2
1,0,0,1,0,1,0,0,1,0,1,1,0,0,710.88
1,1,1,0,1,0,1,1,0,1,0,0,0,1,707.64
1,1,0,0,1,1,0,1,0,0,0,1,1,1,710.91
1,0,1,1,0,1,1,1,1,1,0,1,0,1,705.63
0,0,0,0,1,0,1,1,1,0,1,0,0,1,699.88
0,1,1,1,0,1,0,1,0,1,1,1,0,1,717.66
0,0,1,0,1,1,0,0,0,0,0,1,1,1,710.99
0,1,0,1,0,1,0,0,1,0,1,1,1,1,712.52
0,1,1,0,0,0,1,1,0,0,0,0,0,1,703.86
0,1,1,1,1,0,1,0,0,0,0,0,0,1,701.75
1,1,1,1,0,1,0,0,1,0,0,1,0,1,706.21
1,0,1,0,0,1,0,1,1,0,1,1,0,0,703.51
1,0,1,0,0,0,0,1,1,0,1,0,1,0,715.49
0,1,1,0,0,1,0,0,1,0,1,0,1,1,699.19
0,0,0,0,0,0,1,0,1,0,1,1,1,0,709.96
0,0,1,0,1,1,1,0,1,0,0,1,0,0,711.1
0,0,1,1,1,0,0,0,1,0,0,1,0,0,714.56
1,0,1,1,1,0,0,1,0,0,1,1,1,0,710.64
0,0,1,0,1,1,0,1,0,1,0,0,1,1,705.59
1,1,0,0,1,0,0,1,1,1,1,0,1,1,693.85
1,1,0,0,1,1,0,1,0,0,0,1,0,1,717.5
1,0,1,1,0,0,0,0,0,1,0,0,1,0,709.39
1,1,0,0,0,1,0,0,1,1,0,0,1,0,708.52
0,1,0,1,1,0,0,0,0,0,0,1,1,0,710.33
1,0,0,1,0,1,0,0,0,0,1,0,0,1,708.43
1,1,1,0,0,1,0,1,1,0,0,0,1,0,709.77
1,0,0,1,0,1,1,0,1,1,1,1,1,1,708.99
1,1,0,1,1,0,1,1,1,1,1,1,1,0,704.8
1,0,0,1,1,1,1,1,0,1,1,0,0,1,701.59
0,0,1,0,1,1,0,0,0,1,0,0,1,0,702.3
1,1,1,1,0,0,0,1,0,0,0,0,0,0,693.89
1,1,1,1,0,0,1,1,0,0,0,0,0,1,712.68
0,1,1,0,0,0,1,1,1,1,0,1,0,1,703.9
0,0,0,1,1,0,1,0,0,0,0,1,1,0,706.28
0,1,0,1,1,0,1,0,1,0,0,0,1,0,704.42
0,0,0,0,1,0,0,1,1,0,1,1,0,1,697.63
1,1,0,0,0,1,1,1,1,1,1,0,0,0,698.73
0,1,0,1,1,1,0,1,0,1,0,0,0,1,707.39
1,0,0,1,0,0,0,1,0,0,1,1,0,0,709.49
0,0,0,1,1,0,1,1,1,0,1,1,0,1,698.5
1,1,0,1,0,0,1,0,0,1,1,0,1,0,715.72
0,0,0,1,0,1,0,1,1,0,1,1,0,1,709.5
1,1,1,0,0,1,1,1,1,1,0,1,1,0,715.75
0,1,0,0,0,1,1,1,0,1,1,0,1,0,703.14
1,1,0,0,0,0,1,1,1,1,1,1,0,1,707.51
1,0,0,1,1,1,1,1,1,0,0,0,1,1,707.1
1,1,0,0,1,0,0,0,0,1,0,0,1,1,697.05
1,0,0,1,1,1,1,1,1,1,1,1,0,1,703.62
1,1,0,0,0,1,0,0,1,1,1,0,1,1,705.88
1,0,1,1,1,0,1,0,0,0,0,1,1,1,696.7
1,1,1,1,1,1,0,0,0,1,1,0,0,0,701.79
0,1,1,1,1,1,0,0,0,1,0,1,1,1,704.45
0,0,1,1,1,1,1,1,1,0,0,0,1,0,703.61
1,0,1,1,1,1,0,1,0,1,1,0,1,0,700.45
0,1,0,1,1,0,0,1,1,0,0,1,0,0,714.4
1,1,0,0,0,1,1,1,1,0,0,0,0,1,706.65
0,0,0,1,1,1,0,1,0,1,0,1,0,1,707.02
0,1,1,1,0,0,1,1,1,1,1,0,0,1,710.28
1,1,1,1,1,1,1,1,1,1,1,1,0,1,713.73
1,1,0,1,1,1,0,0,1,1,1,0,0,0,703.98
0,1,0,1,0,0,1,1,0,1,0,0,0,1,698.84
0,0,1,0,0,0,1,0,0,0,0,1,0,1,711.39
0,1,0,0,1,0,0,1,0,1,0,1,1,0,702.13
0,0,1,0,1,1,1,1,0,0,0,0,1,1,705.54
0,0,0,0,0,0,0,0,1,1,0,0,0,0,699.46
0,0,0,0,0,0,1,1,1,1,0,0,1,0,694.32
1,1,1,1,1,0,1,0,1,0,1,0,0,0,711.59
0,0,1,0,1,1,0,1,0,0,0,0,1,1,698.42
0,0,1,0,0,1,0,0,1,0,0,1,1,0,699.8
1,0,0,0,1,0,0,1,1,0,1,1,1,0,703.49
1,0,0,1,1,0,0,0,0,0,1,0,0,1,711.8
0,0,0,1,0,1,1,0,0,1,0,0,0,0,696.86
0,1,1,1,0,0,0,0,0,1,0,1,0,0,707.58
0,1,1,1,1,0,1,1,1,0,1,0,1,0,707.52
1,0,1,0,0,1,1,0,0,0,0,0,0,0,703.57
1,0,0,0,1,0,0,1,1,1,0,1,1,0,708.45
0,1,1,0,0,0,1,0,0,0,1,1,0,1,713.48
1,0,1,0,1,1,1,0,0,1,1,0,0,0,711.42
1,0,0,1,0,0,1,0,0,1,1,1,0,1,717.96
1,0,0,0,0,0,1,1,1,0,1,0,1,0,711.96
1,1,0,0,0,0,0,1,0,0,1,1,1,0,702.92
0,1,1,1,0,0,1,1,0,1,1,1,1,0,706.92
1,1,0,1,1,0,0,1,0,0,1,1,0,0,702.62
1,1,0,1,0,0,1,0,0,1,1,1,1,1,706.4
0,1,0,0,0,1,0,1,0,1,1,1,1,0,708.26
0,1,1,1,1,0,0,1,0,1,1,0,1,1,697.12
0,0,0,0,0,0,1,0,1,0,1,0,1,1,705.58
0,1,1,1,1,0,0,0,1,0,0,0,0,0,701.72
0,1,1,1,1,1,1,1,0,0,1,0,1,1,707.84
0,1,0,0,1,0,0,1,0,1,0,0,1,1,707.53
1,0,1,0,0,0,0,1,0,0,1,1,0,0,704.95
1,1,0,0,1,0,0,1,0,0,0,0,1,0,714.04
0,1,0,0,1,1,1,0,1,0,1,1,1,1,707.61
1,1,1,0,0,1,0,1,1,0,1,0,0,1,707.1
1,0,0,0,0,0,1,0,1,1,1,0,1,1,708.81
1,0,0,1,1,0,1,1,1,1,1,1,1,1,700.21
1,1,0,1,1,1,0,0,1,1,0,1,0,0,718.09
0,1,1,1,0,0,1,1,1,1,1,0,0,0,705.02
0,0,0,1,0,1,0,1,0,0,1,0,0,0,700.59
1,0,1,0,0,1,1,0,0,1,1,1,1,0,707.37
0,1,1,0,0,0,0,1,1,1,0,0,1,0,699.22
1,0,0,1,0,1,1,0,0,1,1,1,1,1,712.1
1,0,1,0,1,0,0,0,1,1,1,0,1,0,705.83
1,0,1,1,1,1,1,0,0,1,1,1,1,0,715.03
0,1,1,0,1,1,1,1,0,1,0,1,0,0,707.1
0,0,1,0,0,0,0,0,1,0,1,1,0,1,699.12
0,1,1,1,0,0,0,0,0,0,0,1,0,1,709.93
0,0,1,1,0,0,1,0,0,1,0,0,1,0,705.4
0,1,1,0,0,1,1,0,0,1,0,1,0,0,716.94
0,1,0,1,0,0,0,1,0,0,1,1,0,0,702.81
0,0,1,1,0,1,0,1,0,1,0,1,1,1,701.87
1,1,0,0,0,0,1,1,0,1,1,1,1,0,703.51
0,1,1,1,1,0,1,1,1,1,0,0,0,0,705.22
0,1,0,0,0,0,1,0,0,1,1,0,0,0,698.47
