SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqsync.2
0,0,1,1,0,0,1,0,0,0,1,0,1,0,2966.5
1,1,0,1,0,1,0,1,0,1,0,0,0,0,2953.1
1,1,1,0,0,1,1,0,1,0,0,1,0,0,2941.6
1,1,0,1,0,1,1,0,1,1,0,1,0,1,2965.9
1,0,1,0,1,0,1,1,0,1,0,1,1,0,2970.3
1,0,1,1,0,1,0,0,1,0,1,1,0,1,2950.7
1,0,0,0,1,0,0,1,0,1,1,0,1,1,2938.6
1,0,0,1,0,0,0,1,1,1,1,0,0,0,2954.9
1,0,1,0,0,1,1,1,1,1,1,0,0,1,2972.9
1,0,0,0,0,1,0,1,0,0,0,0,1,0,2941.4
0,1,1,1,1,1,0,0,1,1,0,0,1,1,2958.0
1,1,1,1,1,1,0,1,0,0,0,1,1,0,2958.9
1,1,1,1,0,0,1,0,1,1,0,0,1,0,2976.3
0,1,0,1,0,0,1,0,1,0,0,1,0,0,2994.0
0,1,0,1,1,0,1,0,1,1,1,0,0,1,2964.2
0,0,1,1,0,1,0,1,1,0,0,0,0,0,2990.7
0,0,1,1,0,1,0,1,0,1,0,0,1,0,2950.9
0,0,0,1,1,0,0,0,0,1,1,0,1,0,2955.9
0,1,1,0,1,0,0,1,0,0,0,1,1,0,2948.3
0,1,1,1,0,1,0,1,0,0,1,1,1,1,2957.0
1,1,0,0,1,1,1,0,0,1,1,1,1,1,2990.2
1,1,1,0,0,0,0,1,1,0,0,1,1,1,2970.9
1,1,1,1,1,1,0,1,1,0,0,0,1,0,2972.5
1,1,0,0,0,1,0,1,1,0,1,1,1,0,2967.7
0,1,0,0,0,1,0,1,1,0,0,1,0,0,2970.8
1,0,1,1,1,1,0,1,1,0,0,1,1,1,2956.9
1,0,0,1,1,1,0,0,1,0,1,0,1,1,2952.3
0,1,0,1,1,1,0,1,1,0,0,1,1,0,2978.2
1,1,1,1,1,1,1,1,1,0,0,0,1,0,2970.5
0,0,1,1,1,1,0,1,1,1,1,1,1,1,2984.1
0,1,1,0,0,0,0,0,0,1,0,1,1,1,2948.2
1,0,1,0,0,0,1,1,1,0,0,0,0,1,2965.4
1,1,0,1,0,0,0,0,0,0,0,0,1,0,2943.9
0,1,1,0,1,1,1,1,1,1,0,0,1,1,2961.2
1,1,1,1,1,0,1,0,1,0,0,0,1,1,3012.0
1,1,1,0,0,1,0,0,0,1,1,1,0,0,2979.2
0,1,1,1,1,0,1,0,0,1,1,1,1,0,2982.5
1,1,1,1,1,0,1,0,1,1,0,1,1,0,2947.6
1,0,0,0,1,0,1,1,1,1,0,0,0,0,2940.3
0,1,0,0,0,1,0,1,1,0,0,1,1,1,2957.8
0,1,0,0,1,0,0,1,1,1,0,0,1,1,2959.6
0,1,1,0,0,0,0,0,1,1,0,1,0,1,2961.8
1,0,0,1,1,1,0,1,0,1,1,1,1,0,2957.5
0,0,1,0,1,0,0,1,1,1,1,0,1,0,2967.3
0,1,1,1,1,0,0,1,1,1,1,1,1,1,2948.9
1,0,0,1,1,1,0,1,0,1,1,1,0,1,2974.8
0,0,0,1,0,0,1,0,0,1,1,1,1,1,2959.5
1,0,0,0,1,1,1,0,0,0,0,0,0,0,2963.7
1,1,0,1,0,1,1,0,1,1,0,0,0,1,2962.6
1,1,1,0,1,0,1,1,0,0,1,1,0,1,2955.3
0,0,1,0,0,0,0,0,1,0,0,0,0,1,2953.0
1,1,0,1,1,0,1,0,1,1,1,1,1,1,2965.1
0,0,1,1,1,1,0,1,0,0,0,1,0,1,2976.2
0,0,1,1,1,1,1,0,1,0,0,1,0,0,2968.2
0,1,1,1,0,0,0,0,0,1,1,1,1,1,2984.3
0,1,1,0,1,1,0,0,1,1,1,1,0,1,2969.8
1,0,0,1,1,1,1,0,0,1,0,1,0,0,2992.9
0,1,0,1,1,1,1,1,1,0,0,1,1,1,2951.0
1,0,1,1,0,0,0,0,0,0,1,1,1,0,2955.9
1,1,0,0,0,1,0,1,0,1,1,1,0,1,2972.6
0,1,0,0,0,0,0,1,1,0,0,0,0,1,2944.3
0,1,1,0,1,0,1,0,0,0,0,1,1,1,2990.7
1,0,1,1,0,0,0,0,1,1,1,0,0,0,2948.9
1,1,1,0,1,1,0,1,1,0,0,1,0,1,2954.6
0,1,1,1,1,1,1,0,0,1,0,0,0,0,2964.7
1,0,1,0,1,1,0,1,1,1,1,1,1,0,2972.8
0,0,1,0,1,0,0,1,1,0,0,1,0,0,2955.8
1,0,0,1,1,1,0,1,0,1,0,0,1,0,2969.9
1,0,1,1,1,0,0,0,1,0,0,1,0,1,2972.2
1,0,0,0,1,1,1,1,1,1,1,1,0,0,2990.8
0,0,0,0,1,0,0,1,0,0,0,0,1,0,2980.1
0,1,1,0,0,0,1,0,0,1,1,1,1,1,2970.9
0,1,1,1,0,1,1,0,1,1,0,1,0,0,2962.4
0,0,0,0,1,1,1,1,1,0,0,1,1,1,2946.0
1,1,1,0,0,1,1,0,1,0,0,1,1,1,2953.6
0,1,1,0,0,1,1,0,1,0,0,0,0,0,2967.4
1,1,1,0,0,1,0,1,1,1,1,0,1,0,2971.7
0,1,1,1,0,1,0,0,1,0,0,0,1,0,2934.5
1,1,1,1,0,1,0,0,1,0,1,1,1,1,2943.5
1,1,1,0,1,0,1,1,0,1,1,1,0,0,2986.4
1,1,0,1,0,0,1,0,0,0,0,1,0,0,2959.5
1,1,0,0,1,0,0,0,1,1,1,0,1,1,2949.9
1,1,0,0,0,1,0,1,0,0,0,1,0,0,2947.3
0,1,0,1,1,1,1,0,0,1,1,0,0,0,2968.0
0,1,0,0,1,1,0,0,0,0,0,1,1,1,2965.3
0,0,1,0,1,1,1,1,0,1,0,0,1,0,2950.5
0,0,0,0,0,1,1,1,1,0,1,0,1,1,2949.2
0,1,1,1,1,1,0,0,0,1,0,1,0,1,2962.6
1,1,1,1,1,0,1,0,1,0,0,1,1,1,2958.1
0,1,1,1,0,1,1,0,0,1,1,0,1,1,2943.7
0,0,0,0,0,0,1,0,1,0,1,0,0,0,2941.3
0,0,0,1,0,0,0,0,1,0,1,0,0,1,2942.4
0,1,0,0,0,0,0,0,0,1,1,0,1,1,2929.0
1,1,0,0,1,1,1,1,1,1,1,0,0,1,2970.5
0,1,0,1,0,0,1,0,1,0,0,0,1,0,2941.0
1,1,1,1,0,0,1,0,0,1,1,1,0,1,2958.1
1,1,0,1,0,0,0,0,0,1,1,0,1,0,2962.9
1,0,0,1,1,1,1,1,0,0,0,0,0,1,2969.1
0,0,0,1,0,1,1,1,1,0,0,1,0,1,2941.5
1,1,0,0,0,0,1,0,1,1,0,0,1,0,2966.0
0,0,0,1,1,1,0,1,1,0,1,0,1,0,2926.9
1,1,0,0,1,1,1,1,0,0,1,0,1,1,2962.5
0,1,0,1,0,1,0,1,1,1,0,1,0,1,2955.4
0,0,1,1,1,0,0,0,0,1,1,1,1,1,2956.0
1,0,0,0,1,0,1,1,1,0,0,1,1,0,2949.9
0,0,1,1,1,1,1,1,0,0,1,1,0,1,2949.9
0,0,1,1,0,0,1,1,1,1,1,0,1,1,2937.9
0,1,0,0,1,1,1,0,0,1,1,1,1,1,2968.8
1,0,1,0,1,1,0,1,1,0,0,0,0,1,2945.2
0,1,1,0,1,0,1,1,0,0,0,0,0,0,2927.6
1,0,0,0,0,0,1,1,0,0,0,1,1,0,2970.4
1,1,1,1,1,1,1,0,1,0,1,0,0,0,3012.4
0,0,0,1,0,1,1,0,1,1,0,0,0,1,2943.6
1,0,0,1,1,0,0,1,0,1,1,0,0,0,2950.3
1,0,0,1,0,0,1,0,0,0,1,0,1,0,2944.1
1,1,1,0,0,1,0,0,0,0,0,1,1,0,2970.6
1,1,0,1,1,1,1,0,0,0,1,0,1,1,2943.2
1,0,1,1,0,1,0,1,0,1,1,1,1,0,2969.8
1,0,1,1,1,0,0,0,1,1,1,1,1,0,2974.7
1,0,1,0,0,1,0,0,1,0,1,0,0,0,2955.2
0,0,1,0,0,0,1,1,1,1,0,1,1,1,2953.8
0,1,1,1,0,1,0,1,1,0,0,0,0,0,2961.9
