step_size,percentage,loss,x264,storm-obj2,storm-obj1,sac,spear
8,0.07,6,22.0,167.25,369.75,348.75,1943.75
8,0.07,7,13.25,167.25,369.75,399.0,582.0
8,0.09,3,15.25,167.25,369.75,373.875,1430.625
8,0.09,4,22.0,167.25,369.75,399.0,582.0
8,0.09,5,17.0,167.25,369.75,348.75,1376.25
8,0.09,6,13.5,167.25,369.75,348.75,2620.0
8,0.09,7,15.25,167.25,369.75,350.5,1620.0
8,0.13,3,17.75,167.25,369.75,399.0,1798.875
8,0.13,4,13.0,167.25,369.75,348.75,2575.5
8,0.13,5,21.0,167.25,369.75,399.0,491.5
8,0.13,6,22.0,167.25,369.75,348.75,1798.875
8,0.13,7,22.0,167.25,354.125,332.25,1578.75
8,0.15,3,13.5,167.25,369.75,348.75,582.0
8,0.15,4,13.25,167.25,369.75,340.5,2620.0
8,0.15,5,13.25,167.25,369.75,332.25,582.0
8,0.15,6,19.5,167.25,369.75,339.625,582.0
8,0.15,7,13.5,167.25,369.75,340.5,2304.125
8,0.18,3,22.0,167.25,369.75,348.75,1055.75
8,0.18,4,17.0,167.25,354.125,348.75,582.0
8,0.18,5,15.25,167.25,369.75,349.625,1898.5
8,0.18,6,17.0,167.25,369.75,349.625,2718.875
8,0.18,7,15.0,167.25,369.75,340.5,2863.75
8,0.1,3,22.0,167.25,369.75,399.0,1475.875
8,0.1,4,17.75,167.25,369.75,350.5,437.125
8,0.1,5,22.0,167.25,369.75,349.625,582.0
8,0.1,6,22.0,167.25,369.75,348.75,1376.25
8,0.1,7,13.5,165.625,369.75,348.75,1844.125
8,0.2,3,19.5,168.0,369.75,330.5,1574.75
8,0.2,4,22.0,167.25,369.75,348.75,1001.375
8,0.2,5,13.0,167.25,369.75,348.75,1736.625
8,0.2,6,19.5,167.25,369.75,349.625,1376.25
8,0.2,7,13.0,167.25,369.75,349.625,1574.75
