SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readrandom.2
0,1,0,0,1,0,0,1,1,1,0,0,1,1,0.450084602369
0,1,1,0,0,0,0,0,1,1,0,1,0,1,0.709813874788
1,0,0,1,1,1,0,1,0,1,1,1,1,0,0.524534686971
0,0,1,0,1,0,0,1,1,1,1,0,1,0,0.428087986464
0,1,1,1,1,0,0,1,1,1,1,1,1,1,0.489001692047
1,0,0,1,1,1,0,1,0,1,1,1,0,1,0.511844331641
0,0,0,1,0,0,1,0,0,1,1,1,1,1,0.465313028765
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.250423011844
1,1,0,1,0,1,1,0,1,1,0,0,0,1,0.639593908629
1,1,1,0,1,0,1,1,0,0,1,1,0,1,0.0998307952623
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.11421319797
1,1,0,1,1,0,1,0,1,1,1,1,1,1,0.497461928934
0,0,1,1,1,1,0,1,0,0,0,1,0,1,0.269881556684
0,0,1,1,1,1,1,0,1,0,0,1,0,0,0.331641285956
0,1,1,1,0,0,0,0,0,1,1,1,1,1,0.423011844332
0,1,1,0,1,1,0,0,1,1,1,1,0,1,0.467005076142
1,0,0,1,1,1,1,0,0,1,0,1,0,0,0.503384094755
0,1,0,1,1,1,1,1,1,0,0,1,1,1,0.170050761421
1,0,1,1,0,0,0,0,0,0,1,1,1,0,0.0626057529611
1,1,0,0,0,1,0,1,0,1,1,1,0,1,0.400169204738
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.294416243655
0,1,1,0,1,0,1,0,0,0,0,1,1,1,0.115905245347
1,0,1,1,0,0,0,0,1,1,1,0,0,0,0.484771573604
1,1,1,0,1,1,0,1,1,0,0,1,0,1,0.228426395939
0,1,1,1,1,1,1,0,0,1,0,0,0,0,0.570219966159
1,0,1,0,1,1,0,1,1,1,1,1,1,0,0.470389170897
0,0,1,0,1,0,0,1,1,0,0,1,0,0,0.253807106599
1,0,0,1,1,1,0,1,0,1,0,0,1,0,0.422165820643
1,0,1,1,1,0,0,0,1,0,0,1,0,1,0.250423011844
1,0,0,0,1,1,1,1,1,1,1,1,0,0,0.500846023689
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.104906937394
0,1,1,0,0,0,1,0,0,1,1,1,1,1,0.399323181049
0,1,1,1,0,1,1,0,1,1,0,1,0,0,0.441624365482
0,0,0,0,1,1,1,1,1,0,0,1,1,1,0.307106598985
1,1,1,0,0,1,1,0,1,0,0,1,1,1,0.334179357022
0,1,1,0,0,1,1,0,1,0,0,0,0,0,0.148900169205
1,1,1,0,0,1,0,1,1,1,1,0,1,0,0.467851099831
