SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readrand100K.6
0,0,0,0,0,1,0,0,1,0,0,0,0,1,272.18
1,1,0,1,1,1,0,1,0,0,1,1,1,1,187.26
0,0,1,0,0,1,1,1,0,1,0,1,1,1,135.6
0,0,0,1,1,1,0,0,1,0,1,1,1,0,149.68
0,1,0,0,1,1,0,0,1,0,0,0,0,0,157.05
1,0,0,0,0,1,1,1,0,0,0,1,0,0,151.65
1,1,0,1,0,0,0,1,1,0,0,1,1,1,149.78
1,1,0,0,0,1,1,1,0,0,0,0,1,0,139.11
1,0,0,1,1,0,0,1,1,1,1,1,1,1,145.45
0,1,1,0,1,0,1,1,1,0,0,1,1,1,144.91
0,1,0,1,1,0,1,1,0,0,0,0,1,0,165.36
1,0,0,0,1,1,1,1,1,1,1,0,0,0,127.98
1,0,1,1,0,1,0,1,0,0,1,1,0,1,135.72
1,0,1,0,1,0,0,1,1,0,1,0,0,1,132.27
1,1,1,1,1,1,1,1,1,1,1,0,1,1,121.4
1,1,1,0,1,1,0,0,1,1,0,1,1,1,137.04
0,1,0,1,1,0,0,0,1,0,1,0,0,1,133.71
1,0,1,0,1,1,0,1,1,1,1,0,1,1,143.11
0,0,0,1,1,0,1,1,0,1,1,1,0,0,154.83
1,0,0,0,0,1,0,1,1,0,1,0,0,1,115.66
1,0,1,0,0,1,1,1,1,1,0,0,1,0,100.62
0,0,0,1,0,0,1,1,1,1,1,0,1,1,97.373
0,0,0,0,1,0,1,1,1,1,1,1,0,0,97.565
0,1,1,0,0,0,1,0,1,0,1,0,1,0,115.84
0,1,0,0,1,0,1,0,0,0,1,0,0,0,91.016
1,0,0,1,1,1,0,1,0,1,1,1,1,1,99.639
1,1,0,0,1,0,0,0,1,1,1,1,1,0,110.87
1,1,0,1,0,0,0,0,0,1,0,1,1,1,105.29
0,0,1,1,1,1,1,0,1,1,0,1,1,0,125.42
0,1,1,0,0,0,1,0,1,0,0,0,1,0,108.69
0,1,0,1,1,0,1,1,0,1,1,1,0,0,90.419
0,1,1,0,0,1,0,0,1,1,1,1,1,1,98.935
1,0,1,1,0,1,1,0,1,1,0,1,0,0,98.35
0,1,0,1,0,0,1,1,1,0,1,0,0,1,100.76
1,0,1,1,0,0,1,0,1,0,1,1,1,1,113.59
0,0,1,1,0,1,1,0,1,0,1,0,0,1,98.364
0,0,0,1,1,1,0,1,0,1,0,1,0,1,109.32
1,1,1,0,0,0,0,1,1,1,1,1,0,1,109.41
0,1,0,0,0,1,0,0,1,1,0,0,1,0,118.23
1,0,0,1,1,1,1,0,1,0,0,0,1,1,130.26
1,1,0,1,1,1,1,1,0,1,1,1,1,1,127.82
1,0,1,0,0,1,0,0,1,1,1,0,0,1,155.0
0,1,0,1,1,0,1,1,1,1,1,1,0,0,124.04
1,0,0,1,0,1,0,0,0,1,1,0,0,1,115.46
0,1,0,1,0,1,1,1,0,0,1,1,1,0,116.47
1,0,1,1,0,0,0,1,1,0,1,1,1,1,109.04
1,0,1,1,0,0,0,0,1,0,1,1,1,1,127.15
0,1,1,1,1,0,1,1,0,1,0,1,0,1,138.08
1,1,1,1,1,1,1,0,0,0,0,0,0,1,116.2
1,0,0,0,1,0,0,0,1,1,1,0,0,1,107.5
0,0,0,0,1,0,1,0,1,1,1,0,0,0,97.535
0,1,1,1,0,1,1,1,0,1,1,0,1,0,87.642
0,1,1,0,0,0,1,0,1,0,1,1,1,0,98.125
0,0,0,0,0,1,0,0,0,0,0,1,0,1,89.989
1,1,0,0,0,1,1,1,0,0,1,1,1,0,88.65
1,0,0,0,0,0,1,0,0,0,0,1,0,0,84.393
1,1,0,1,1,1,0,1,0,1,0,1,1,0,88.525
0,1,0,1,1,1,1,0,1,1,1,0,1,1,91.595
0,1,0,1,1,0,0,0,0,0,0,0,0,1,84.108
1,1,0,1,0,0,0,1,1,1,0,0,1,0,81.704
0,1,0,1,1,0,0,0,0,0,1,1,1,0,73.23
0,1,1,1,0,1,1,1,1,1,0,0,1,1,89.69
0,0,1,1,1,0,1,1,0,1,1,0,1,1,83.004
1,1,0,0,0,0,1,0,1,1,0,1,0,1,80.75
0,0,0,0,1,0,1,1,0,0,1,1,1,0,96.737
1,1,0,1,0,0,0,0,0,0,1,0,0,0,84.205
0,1,1,0,0,0,1,1,0,1,0,0,1,0,72.934
1,0,1,1,1,1,0,0,1,0,1,0,0,1,75.309
1,1,1,1,0,0,1,0,1,1,1,1,0,0,84.247
1,0,1,0,0,0,1,1,0,0,0,0,0,0,72.205
1,1,1,0,1,1,0,0,1,0,0,0,0,0,79.444
1,1,0,0,1,1,0,0,1,0,0,1,0,0,64.854
0,0,0,1,1,0,1,0,0,1,0,0,0,0,69.891
0,0,0,0,1,1,0,0,1,0,1,1,0,0,65.296
0,0,1,1,0,0,1,1,1,1,1,0,0,1,63.704
1,0,1,0,0,0,0,1,0,1,0,0,0,0,65.228
0,0,1,0,1,1,0,0,1,0,0,1,1,0,64.242
0,0,0,1,1,1,0,1,0,1,0,1,1,1,63.292
1,1,1,1,1,0,1,0,0,1,1,0,1,0,64.903
0,1,1,1,0,1,1,1,0,0,1,1,1,1,64.493
0,0,1,1,0,1,0,0,1,0,0,0,1,0,63.108
0,1,1,1,1,0,0,1,0,0,1,1,0,1,66.737
0,0,1,1,0,0,1,1,0,0,1,0,0,1,66.287
1,1,1,0,1,1,1,0,1,0,0,0,1,0,64.427
1,1,0,0,1,0,1,0,0,1,0,0,0,0,68.134
0,0,1,1,1,1,0,1,0,1,0,1,1,1,63.899
0,0,1,1,1,0,1,0,0,1,1,0,1,1,65.351
0,1,0,0,1,0,0,0,1,1,0,0,1,0,65.514
0,0,1,0,0,0,1,1,0,0,1,1,0,0,63.829
1,1,0,0,0,0,0,1,1,1,1,0,0,0,62.976
0,1,0,0,1,0,0,0,0,1,1,0,1,0,71.959
0,0,1,1,0,0,0,1,0,0,0,0,0,0,64.45
1,0,1,0,1,0,0,0,1,0,0,1,0,0,62.078
1,0,1,1,1,0,0,1,0,0,0,1,1,0,64.742
0,1,1,0,0,0,1,1,0,1,0,0,0,1,64.564
1,0,1,1,0,0,0,0,0,0,1,0,1,0,63.485
1,0,0,0,0,0,1,0,0,1,1,0,1,1,65.489
1,1,1,1,0,1,0,1,0,0,0,1,1,0,69.819
0,1,1,0,0,0,0,0,1,1,1,1,0,0,62.727
1,1,1,1,0,0,0,1,1,1,0,0,0,0,67.182
0,0,0,1,1,0,0,0,0,1,1,0,1,0,64.55
1,1,0,0,1,0,0,0,1,1,0,0,1,0,64.131
0,1,1,0,0,0,1,0,1,1,0,0,1,1,65.257
1,1,1,0,0,1,0,0,1,1,0,1,1,0,65.693
0,1,0,1,0,1,1,1,1,1,1,0,1,1,64.598
0,1,1,0,0,1,0,0,1,0,1,1,0,0,65.839
1,0,0,0,1,1,0,0,1,1,0,1,1,1,64.806
0,0,1,0,0,1,1,1,1,0,1,1,1,0,66.224
0,1,0,1,1,0,1,1,1,0,1,0,0,1,63.571
1,0,1,0,0,0,0,0,1,0,0,0,1,1,64.559
0,1,1,0,0,0,1,0,0,0,0,0,1,1,63.998
0,1,1,0,0,1,0,0,0,1,1,1,1,1,66.798
0,1,0,1,0,0,0,0,0,0,0,0,1,1,64.521
0,0,1,0,1,0,0,1,1,0,1,0,0,0,67.052
1,1,0,0,0,1,1,0,1,0,0,1,0,1,65.866
1,0,0,0,0,0,1,0,1,1,0,0,1,1,65.432
0,1,1,1,0,1,0,0,1,0,1,0,1,0,68.408
0,0,0,1,0,0,0,1,1,0,0,0,1,0,64.952
1,0,1,0,1,0,0,0,0,1,0,1,1,0,65.684
1,0,0,1,1,0,1,0,1,1,1,0,0,1,65.403
1,1,1,0,1,0,1,0,1,1,0,0,1,1,64.404
0,1,1,1,0,0,1,1,1,0,1,1,1,0,65.187
1,1,0,1,1,0,1,1,1,0,0,1,1,0,66.01
1,0,1,0,0,1,0,1,0,1,1,0,1,0,65.161
0,1,0,0,1,0,0,0,1,0,1,0,1,1,62.716
1,0,0,1,1,0,1,0,0,0,1,0,0,0,65.313
1,0,1,0,1,1,1,0,0,1,0,0,0,1,65.29
1,1,1,1,0,0,0,1,1,1,1,1,0,1,63.516
1,1,1,0,0,0,0,1,0,1,0,1,0,0,62.899
1,0,0,1,1,1,0,0,0,0,0,0,0,1,65.842
0,1,1,1,0,0,0,1,1,0,1,1,0,1,65.454
0,1,0,1,1,0,0,0,0,0,0,1,0,1,68.358
0,0,0,0,0,1,1,0,1,1,1,0,0,0,67.523
0,1,1,0,0,0,0,1,0,1,1,0,1,0,63.848
0,1,1,0,1,1,0,0,0,1,0,1,1,1,62.613
1,1,1,1,0,1,1,1,0,1,0,0,1,0,63.51
0,1,0,0,1,0,1,0,1,1,0,1,0,0,65.049
1,1,0,1,0,1,1,0,0,1,1,1,1,0,63.985
1,1,1,0,1,0,1,1,1,0,1,0,0,1,68.863
1,0,0,0,0,1,1,0,1,1,1,1,1,0,64.52
0,0,1,1,0,1,1,1,1,1,1,0,0,0,66.673
0,1,0,1,1,0,1,1,1,0,0,0,1,1,60.679
1,0,1,1,0,0,1,0,1,0,0,1,1,1,64.73
0,1,0,0,1,0,1,0,1,0,0,0,1,1,66.48
1,1,1,1,1,0,1,0,1,1,0,0,0,0,64.464
0,1,0,1,0,0,1,0,0,1,1,1,0,0,64.083
1,1,1,1,1,1,1,1,1,1,0,0,0,0,64.666
0,1,0,1,1,0,1,0,1,0,1,1,0,0,64.274
1,0,0,1,1,0,0,0,0,1,1,0,0,1,63.605
1,1,0,1,0,1,1,0,0,1,1,1,0,0,64.138
0,0,1,1,1,1,0,0,1,0,0,0,0,1,63.687
0,0,1,0,0,0,0,0,1,1,1,1,0,0,68.145
0,0,1,0,0,1,0,0,0,0,1,0,1,0,63.617
1,0,1,0,0,1,1,0,0,1,1,0,0,0,68.704
1,0,0,1,0,0,1,0,1,0,1,1,0,1,63.597
0,0,1,1,1,0,1,0,0,1,1,0,1,0,63.791
1,1,1,1,0,1,1,0,0,0,1,0,1,1,64.277
1,1,0,1,1,1,0,1,0,0,1,1,1,1,67.33
0,1,0,1,1,0,1,0,1,0,0,0,0,0,66.201
1,0,0,0,1,0,1,1,1,0,0,1,1,1,68.513
0,0,1,0,1,1,1,0,0,0,0,1,1,0,64.493
1,0,1,0,0,1,1,0,0,0,1,0,1,0,65.115
0,0,0,0,1,1,0,1,1,1,1,1,0,1,64.078
0,0,0,1,0,1,1,0,0,1,0,0,1,1,64.441
1,1,0,1,0,0,0,0,1,1,1,1,0,0,63.985
0,1,1,1,0,1,0,1,1,0,1,1,1,1,67.414
0,1,1,1,0,1,1,1,0,0,0,1,1,1,64.827
1,0,0,0,0,0,1,0,0,1,0,1,1,0,64.167
1,1,1,0,1,1,1,1,0,0,0,0,1,1,65.971
1,1,1,1,0,0,0,1,1,0,1,0,0,0,64.362
0,0,0,1,0,0,1,1,1,1,0,1,0,0,65.407
0,0,1,1,0,1,0,0,0,1,1,0,1,0,63.154
0,0,0,1,1,0,0,1,0,1,0,1,1,1,66.435
1,1,0,1,1,1,0,1,0,0,1,0,0,1,63.491
1,0,1,1,1,1,1,1,0,1,0,0,0,1,65.251
0,0,1,0,1,0,1,0,1,0,0,0,1,0,62.32
0,1,0,0,0,1,0,0,0,0,0,1,1,0,62.995
0,0,1,0,1,0,0,0,0,1,1,0,0,0,63.653
1,1,0,1,0,1,1,0,1,0,0,0,1,1,63.879
1,0,0,1,0,0,0,1,1,0,1,0,1,1,64.432
1,1,0,1,1,0,1,0,0,1,1,0,0,1,63.814
0,0,0,0,1,0,0,0,1,1,1,0,1,1,63.95
0,1,1,0,0,0,0,1,0,1,0,1,1,1,65.665
1,0,1,0,0,1,0,0,1,0,1,0,0,0,60.908
0,1,0,1,1,1,0,0,1,0,1,0,0,0,64.382
0,1,1,0,0,0,1,0,0,1,1,0,1,1,63.743
1,0,0,1,1,0,1,1,0,1,0,1,1,1,63.737
1,0,1,1,0,1,0,1,1,0,1,1,1,1,64.223
0,0,1,1,1,0,1,1,1,1,1,0,1,1,65.569
1,0,1,1,1,0,1,1,1,0,0,0,0,0,63.799
1,0,1,1,1,1,0,0,0,0,1,0,1,0,64.772
0,0,1,0,0,0,1,1,0,1,0,1,1,0,62.9
1,1,1,0,1,1,1,1,0,0,0,1,1,1,66.058
0,1,0,1,0,1,1,0,1,0,1,0,1,1,64.415
0,1,1,1,0,0,0,0,1,1,1,0,0,0,63.153
0,1,0,1,0,1,0,1,0,0,0,0,1,1,65.785
1,1,0,0,1,0,0,1,0,0,0,1,1,0,62.7
0,1,0,1,1,0,0,0,1,0,1,0,0,1,63.999
0,1,1,0,0,1,1,0,0,1,0,0,0,0,62.511
0,0,1,1,1,1,1,0,0,1,0,1,1,1,64.944
1,0,1,1,1,1,0,1,0,1,0,0,0,1,64.59
1,1,1,0,1,0,1,0,1,1,0,0,0,0,69.061
1,0,0,0,1,1,0,1,1,0,1,1,1,1,64.094
0,1,1,0,1,1,1,1,1,1,1,0,1,1,63.444
0,0,1,0,1,1,1,1,1,0,1,1,0,1,63.115
0,0,1,1,1,0,0,1,1,1,0,1,1,1,65.425
0,0,0,0,1,0,1,1,0,1,0,0,0,0,63.561
1,1,1,1,1,1,1,1,0,0,0,0,1,1,64.558
0,0,1,1,0,0,0,1,1,0,0,0,1,1,62.441
0,0,1,0,1,1,1,0,1,1,1,1,0,0,63.862
0,1,0,1,1,0,0,0,1,1,0,0,1,1,65.331
0,0,1,1,1,0,1,0,0,1,1,1,1,0,64.906
0,0,0,1,0,0,0,0,1,0,1,1,0,1,64.609
0,0,0,0,0,1,1,0,1,1,1,0,0,1,63.501
1,0,1,1,1,1,0,1,1,1,0,1,1,0,63.296
1,0,0,0,1,0,1,1,0,0,1,0,1,0,63.151
1,0,0,0,1,0,1,0,1,0,1,0,1,0,64.05
0,0,0,1,0,1,1,1,0,0,1,1,1,0,65.1
1,1,0,1,1,1,0,1,1,0,0,1,0,1,62.701
0,1,0,0,0,1,1,1,0,1,0,0,1,0,64.216
1,1,1,0,0,1,1,1,1,1,0,1,1,1,67.637
1,1,0,1,1,0,1,1,0,1,0,0,0,1,66.301
0,1,1,0,0,1,0,1,0,0,1,1,0,1,64.797
1,1,1,0,0,1,0,1,0,1,1,1,0,0,66.507
1,1,0,1,1,1,1,0,0,0,1,0,1,0,64.611
1,0,0,0,0,0,1,0,0,1,0,1,1,1,63.544
1,1,0,1,1,0,1,1,0,1,0,1,0,1,63.129
0,1,1,0,0,1,0,0,1,1,0,0,1,1,64.407
1,1,1,1,1,1,1,0,1,1,1,0,0,0,65.964
1,1,1,0,1,1,1,0,1,1,0,0,1,1,63.979
0,0,1,0,1,1,1,1,1,0,0,1,1,1,62.689
1,0,0,1,1,1,1,1,1,1,0,1,0,1,64.436
1,0,1,1,1,0,0,0,1,1,0,0,1,1,62.506
1,0,0,1,1,1,1,0,1,1,1,1,1,0,63.968
0,0,1,1,1,0,1,1,1,1,0,1,0,0,64.702
1,0,0,0,0,0,1,0,1,1,0,0,0,1,66.145
0,1,0,0,1,0,1,0,1,0,0,0,1,0,66.348
1,0,0,1,1,1,0,1,0,0,0,1,1,1,63.432
0,0,1,0,0,1,1,1,1,0,0,0,0,1,64.789
1,1,0,1,1,0,1,1,0,0,1,0,0,0,71.143
0,1,0,0,1,1,1,1,1,0,1,1,0,1,63.943
1,0,1,0,1,0,1,1,1,1,1,0,0,1,65.648
1,0,0,0,1,0,1,1,1,0,1,0,0,1,69.307
0,0,1,1,1,0,1,0,1,1,1,1,0,1,63.109
1,1,1,1,0,0,0,0,0,0,0,0,1,0,63.546
0,1,1,1,1,0,0,1,0,0,0,0,1,1,65.218
1,1,0,1,1,0,1,0,1,0,1,1,0,1,69.174
1,0,1,0,1,1,1,0,1,0,1,1,0,1,68.845
0,0,0,1,0,1,0,0,1,0,0,1,0,0,64.272
0,0,0,1,0,0,1,0,1,0,0,0,0,1,63.216
0,1,1,1,1,0,0,0,1,0,1,1,0,0,64.037
0,1,0,1,0,0,0,0,1,1,1,1,1,0,69.136
0,0,0,1,1,1,0,1,1,1,1,1,1,1,64.758
1,1,1,0,0,0,1,1,0,1,1,1,0,0,64.173
0,1,0,0,0,1,1,1,0,0,1,0,1,0,63.432
1,1,0,1,0,0,0,0,0,0,0,0,1,0,66.572
0,0,1,1,0,0,1,0,1,1,1,1,1,1,63.973
1,1,1,1,1,0,1,0,1,0,1,1,1,1,68.135
1,0,1,1,1,0,0,0,0,1,1,1,0,1,66.324
0,0,0,1,0,0,1,0,1,1,0,0,0,1,64.847
1,0,0,1,0,1,0,0,1,0,1,1,1,1,63.954
1,1,0,0,1,0,1,0,0,0,0,0,1,1,63.776
0,1,1,0,0,1,0,0,0,1,1,1,0,1,69.62
1,1,1,0,0,0,0,0,1,0,0,0,0,1,66.309
0,0,1,0,1,1,0,0,0,0,1,0,0,1,65.543
1,1,1,1,0,1,1,0,0,1,1,0,1,1,65.732
0,1,0,0,1,1,0,0,0,1,1,1,0,0,65.948
0,0,0,1,0,0,0,0,0,1,1,0,0,1,70.531
0,0,1,1,1,1,1,0,0,0,1,1,1,1,64.171
0,0,1,1,0,1,0,1,1,1,1,1,0,1,64.121
0,0,1,0,1,0,1,0,1,1,0,1,0,0,65.678
1,1,1,0,0,1,0,1,0,1,0,0,1,0,64.945
0,1,1,0,0,0,0,1,0,1,1,1,1,1,63.425
0,0,0,1,1,1,0,0,0,1,1,1,1,0,65.247
0,1,0,0,0,1,1,0,1,1,1,1,1,0,64.127
1,1,0,1,0,0,1,1,1,0,1,0,1,0,67.635
1,0,1,0,1,0,1,0,0,1,1,1,1,1,64.095
1,1,0,0,0,1,0,1,0,1,1,0,1,0,64.125
1,1,0,1,1,1,0,0,1,1,1,1,1,0,62.507
0,1,1,1,0,0,0,1,1,1,1,1,0,0,65.659
0,1,1,1,0,1,0,0,0,0,0,0,0,0,63.121
1,0,1,0,0,0,1,0,0,0,1,0,1,0,62.665
1,0,0,0,1,0,1,1,0,1,0,0,0,1,66.332
0,0,1,0,0,1,0,0,0,0,0,0,1,1,71.967
0,1,0,0,1,0,0,0,0,1,0,0,1,1,66.011
0,0,1,0,1,0,1,1,0,0,1,1,0,0,65.718
1,1,0,1,0,0,0,1,0,1,1,1,0,1,63.403
0,0,1,0,0,1,0,0,1,0,0,1,0,1,64.552
0,0,0,1,0,1,1,0,0,0,1,1,0,0,62.902
0,0,1,1,1,0,0,0,1,0,0,0,0,1,65.407
0,1,0,1,1,0,0,0,1,0,1,0,0,0,64.241
1,0,0,0,0,0,1,0,1,0,1,1,1,1,67.115
0,0,0,1,0,0,0,0,0,0,1,0,0,0,62.533
1,1,1,1,0,0,0,0,1,1,1,1,1,0,67.93
0,0,0,0,0,0,1,1,0,0,0,0,1,1,64.466
0,1,0,0,0,1,1,0,1,0,1,1,0,0,61.554
0,0,0,0,1,1,0,1,1,1,0,0,0,0,64.168
0,0,1,0,0,0,1,1,1,0,0,0,0,1,64.976
0,0,1,0,1,0,1,0,0,0,1,1,1,1,64.445
0,0,1,1,0,1,1,1,1,0,0,0,1,0,67.257
0,0,1,0,1,1,0,1,0,1,0,0,1,1,65.397
1,1,0,1,0,0,0,0,0,0,0,1,1,0,65.182
0,1,1,0,0,0,1,0,1,1,0,0,0,0,66.587
1,1,0,1,1,1,0,0,0,1,0,0,0,1,67.568
1,0,1,0,1,1,0,0,1,1,1,0,1,1,63.133
1,0,0,0,1,1,1,0,0,1,1,0,1,1,68.975
1,1,1,0,1,0,1,0,1,1,1,0,0,0,66.895
1,1,0,1,0,0,1,0,0,0,1,0,1,1,66.341
1,1,1,0,0,1,1,0,1,0,0,0,0,0,64.271
1,1,0,0,0,0,0,1,1,0,0,1,1,0,63.317
0,0,1,1,0,0,1,1,0,0,0,1,1,1,63.883
0,1,0,1,0,1,0,1,1,1,1,1,0,1,66.362
0,1,1,0,1,1,0,1,0,1,0,0,1,1,64.668
1,1,1,0,0,1,0,0,0,1,0,1,1,0,63.616
1,0,1,0,0,1,0,0,1,0,1,1,1,1,64.761
1,1,0,1,0,1,0,0,0,1,0,0,1,0,62.472
0,0,1,1,0,1,1,0,0,1,0,1,1,0,62.977
0,1,0,0,1,0,1,1,0,1,0,1,1,1,61.616
0,1,0,1,0,0,0,1,0,1,1,1,0,1,65.324
1,0,1,1,1,0,0,0,1,1,1,0,1,1,69.68
0,1,0,0,0,0,1,0,0,1,1,1,0,1,64.842
0,0,0,1,0,1,1,0,1,1,1,1,1,1,66.287
1,0,0,0,0,1,0,0,1,0,0,1,1,0,65.206
0,0,0,0,0,1,0,0,1,1,1,0,0,1,63.938
1,0,1,1,0,0,1,1,0,1,1,1,1,1,62.836
0,0,0,0,1,0,1,1,0,0,1,1,0,0,64.344
0,1,1,1,1,0,1,1,0,1,1,0,1,0,65.726
0,1,1,0,1,0,1,0,1,0,0,1,1,1,63.906
1,1,0,1,0,1,0,0,1,0,1,0,1,1,62.915
0,0,1,1,1,0,1,1,0,0,0,1,1,1,60.588
1,1,1,0,0,0,0,1,1,0,0,0,1,0,66.286
0,0,0,1,0,1,1,1,1,0,0,1,0,1,65.585
1,1,0,0,0,0,1,0,1,1,1,0,0,1,68.086
0,1,1,0,1,0,0,1,1,0,0,0,0,1,65.732
1,1,0,1,0,1,1,0,0,1,1,1,0,1,62.65
1,1,1,0,1,0,1,0,1,0,0,1,0,0,64.177
0,1,1,0,1,0,0,1,1,1,0,0,0,0,62.652
1,1,0,0,0,0,1,1,0,1,0,0,1,1,63.964
0,1,1,0,1,0,1,1,1,1,0,0,0,1,62.649
0,0,1,0,1,1,0,1,0,0,0,1,1,0,64.859
0,1,0,1,1,1,1,0,1,1,1,1,0,1,65.089
0,0,1,1,0,0,0,0,1,1,0,0,0,0,64.787
1,1,0,0,0,1,0,0,1,0,1,1,0,1,63.618
0,1,0,1,0,1,1,0,1,1,0,0,1,0,62.958
0,0,1,1,0,0,0,1,1,0,1,1,1,0,63.846
0,0,1,1,0,1,0,1,1,0,1,1,0,1,63.161
0,1,0,0,0,1,0,0,1,0,1,0,0,1,65.065
1,0,1,0,0,1,0,1,1,1,0,1,1,1,64.547
0,1,1,1,1,0,0,0,1,0,0,0,0,0,64.13
1,1,0,1,0,1,0,1,0,1,1,0,1,1,64.546
1,1,1,1,1,1,0,1,1,0,0,1,1,0,63.508
0,1,0,1,0,0,0,1,0,0,1,0,0,0,64.428
0,1,0,0,1,0,1,1,1,0,1,1,1,1,66.11
1,1,0,1,0,1,0,0,0,0,0,0,0,1,64.593
0,1,1,0,1,0,1,0,1,0,0,1,1,0,63.213
0,0,0,0,0,1,1,1,0,0,0,0,0,1,63.824
0,1,1,0,0,1,1,1,0,0,0,0,1,1,68.317
1,0,0,1,1,1,0,1,1,0,1,1,1,1,65.286
0,1,0,0,1,1,1,0,0,1,0,0,1,1,63.785
1,0,0,1,1,0,0,0,0,1,0,1,0,1,63.877
0,1,0,0,0,0,0,1,1,0,1,0,0,1,63.646
1,1,1,0,0,1,1,0,0,0,1,0,0,1,63.014
0,1,0,1,0,1,1,0,0,0,1,0,1,0,62.913
1,1,1,0,0,1,0,1,1,1,1,1,0,0,67.037
1,1,0,1,0,1,0,0,1,1,1,0,0,1,64.937
0,0,0,0,1,0,0,1,0,1,1,1,0,1,64.77
1,1,0,1,0,1,0,0,0,0,0,1,0,0,64.422
1,1,1,0,0,1,1,1,0,1,0,0,0,0,68.045
1,1,1,1,0,0,0,0,1,0,0,0,1,0,65.981
1,0,1,1,0,1,0,1,1,1,0,1,0,0,64.166
1,0,0,1,1,1,1,1,0,0,1,1,0,1,63.333
0,0,1,1,0,1,0,1,0,1,1,1,1,0,62.81
1,1,1,0,0,1,0,0,0,1,0,0,1,0,66.132
0,0,1,1,0,0,0,0,0,1,0,0,0,0,64.253
1,1,0,0,0,1,0,0,0,0,1,0,0,1,64.731
0,1,0,1,0,1,0,1,0,0,0,0,0,0,64.587
0,1,1,1,1,1,0,0,1,0,0,1,0,0,65.473
1,0,1,1,1,0,1,0,1,0,1,0,0,1,65.934
0,0,1,1,0,1,1,1,1,0,0,1,0,1,64.956
1,1,1,1,0,0,0,0,0,1,1,1,0,0,66.499
1,1,1,1,1,1,1,0,0,0,0,0,0,0,65.689
0,0,1,0,0,0,0,0,0,0,1,0,1,0,63.591
0,1,1,0,1,1,1,0,0,0,1,0,1,1,64.975
0,0,1,1,1,0,0,0,0,0,0,1,1,0,63.657
1,0,1,1,0,1,1,1,1,0,0,0,1,1,65.208
1,1,0,0,1,0,0,1,1,1,0,0,0,0,64.577
0,1,0,1,0,0,0,1,1,0,0,1,0,1,64.776
1,0,0,0,1,0,1,0,1,0,0,1,0,1,64.86
1,1,0,0,0,1,0,0,1,0,1,0,0,1,64.216
1,0,0,1,0,0,0,1,0,1,1,0,1,0,67.051
0,0,1,1,1,0,0,0,0,0,1,1,0,0,62.49
0,0,0,1,0,1,1,0,1,0,1,0,0,0,63.833
1,1,0,1,1,0,0,0,0,1,0,1,0,1,65.803
0,0,0,0,0,1,1,1,1,0,0,0,0,0,59.912
0,1,1,0,0,1,0,1,0,0,0,0,1,1,63.759
0,0,0,0,0,1,0,1,1,1,0,1,1,0,62.097
1,1,0,0,1,1,0,0,0,1,0,0,1,1,64.054
1,1,0,0,0,1,0,0,1,0,0,1,1,1,64.76
0,1,1,0,1,0,0,0,0,1,0,1,0,1,64.527
1,0,0,0,0,1,1,0,1,0,0,1,0,0,66.459
0,0,1,0,1,1,0,0,1,0,1,1,0,1,64.413
0,1,1,1,0,1,0,0,1,0,1,1,0,0,63.743
0,1,1,1,0,1,1,0,0,1,0,0,1,0,62.325
1,1,1,0,1,1,1,1,0,0,0,0,1,1,62.828
0,1,0,0,0,1,0,0,0,0,0,0,1,1,64.402
0,0,1,0,0,0,1,1,1,1,1,0,0,1,63.787
1,1,0,1,1,1,1,0,0,1,1,0,0,0,63.942
0,1,0,1,0,1,1,1,0,0,0,1,0,0,65.517
1,0,1,1,0,0,1,1,1,0,1,1,0,0,64.739
1,0,0,1,0,0,0,0,0,0,1,0,0,1,62.621
1,1,0,1,0,0,1,1,1,0,0,1,0,0,64.233
1,0,1,1,0,0,0,1,1,0,0,1,0,0,64.188
0,1,0,1,1,1,0,1,0,1,1,0,0,1,64.397
1,1,0,1,1,1,0,1,1,0,0,0,1,0,63.216
1,1,1,1,1,1,0,0,1,0,0,1,1,0,62.042
1,0,1,0,1,0,1,0,1,0,0,1,0,0,64.254
0,0,0,1,1,0,0,1,0,0,0,1,1,1,65.725
0,0,1,0,0,0,0,1,0,0,0,1,0,0,63.985
1,0,1,1,0,1,0,0,0,1,0,0,0,0,64.435
0,0,0,0,1,1,1,1,0,0,0,0,0,0,66.778
1,0,0,1,0,0,0,0,0,1,1,1,0,0,65.058
1,1,1,0,1,0,1,1,0,1,1,0,1,0,63.071
0,1,0,0,0,1,0,1,0,1,1,1,0,0,64.266
1,0,1,1,0,1,1,1,0,1,1,1,0,1,64.456
1,0,0,0,0,0,0,1,0,1,0,1,0,1,65.985
0,0,1,1,1,0,1,1,0,1,0,0,1,1,65.228
0,0,1,1,1,1,0,1,0,1,1,1,0,0,64.183
