topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$throughput
2,1,4,10,1,1,1,10,512,100,5,29,915.33333333333337
4,10,4,10,10,0,1000,10,1024,100,5,0,3936.25
4,1,4,1000000,1,1,1000,1000,512,10000,5,29,6325.25
2,10,2,1000000,10,0,1000,10,512,100,2,29,8749.8333333333339
2,10,2,1000000,1,0,1,10,512,100,2,29,901.5
2,1,2,10,1,1,1000,10,512,100,2,0,9289.9166666666661
4,1,4,1000000,10,0,1,1000,1024,10000,5,29,3040.0
2,1,2,1000000,1,0,1,1000,1024,10000,5,29,909.08333333333337
4,10,2,10,10,1,1000,1000,512,10000,5,0,5481.083333333333
4,1,2,1000000,1,1,1,1000,512,10000,5,29,885.41666666666663
4,10,4,10,1,1,1000,10,1024,100,5,29,6024.5
4,10,2,1000000,1,0,1,1000,512,10000,2,29,860.16666666666663
4,1,2,10,10,1,1000,10,512,100,5,29,5736.833333333333
2,10,4,1000000,10,0,1,1000,1024,10000,5,29,6231.416666666667
4,10,2,10,1,1,1000,10,1024,100,2,0,7203.416666666667
4,1,4,10,10,0,1,1000,512,10000,2,0,3093.6666666666665
2,1,2,1000000,10,1,1000,10,1024,100,2,29,9391.5833333333339
4,1,4,1000000,1,0,1,1000,1024,10000,5,0,879.66666666666663
4,1,2,10,10,1,1,1000,512,10000,2,29,4163.083333333333
2,1,2,10,1,0,1,10,512,100,2,0,884.91666666666663
4,10,2,10,1,0,1,10,512,100,2,29,857.83333333333337
4,10,2,1000000,10,0,1000,10,512,100,5,0,5819.916666666667
4,10,4,10,1,1,1,1000,1024,10000,2,0,860.33333333333337
2,10,4,1000000,1,0,1000,1000,512,10000,5,29,9112.9166666666661
4,1,4,1000000,10,1,1,1000,512,10000,2,0,3035.0
2,1,2,1000000,10,0,1,10,512,100,5,29,6372.333333333333
4,1,2,1000000,1,1,1,10,512,100,5,0,876.08333333333337
2,10,4,10,10,1,1000,1000,512,10000,5,0,8116.25
2,10,2,1000000,1,0,1,10,512,100,5,29,926.5
4,1,4,10,1,0,1000,1000,1024,10000,2,0,6133.083333333333
2,10,4,1000000,10,0,1,10,1024,100,2,0,6191.75
2,10,2,1000000,10,0,1,1000,1024,10000,5,0,6361.333333333333
2,10,2,1000000,1,1,1000,1000,512,10000,5,0,9866.8333333333339
2,10,4,10,10,1,1,1000,1024,10000,5,29,6034.833333333333
4,1,4,1000000,10,1,1000,10,1024,100,2,29,4025.0
4,10,2,10,1,1,1,10,512,100,2,0,867.75
4,10,2,1000000,1,0,1,1000,512,10000,2,0,874.25
2,10,2,10,10,0,1000,10,512,100,5,0,8935.8333333333339
4,1,4,1000000,1,1,1000,10,512,100,2,0,6246.666666666667
2,1,4,10,1,1,1000,1000,512,10000,5,0,8965.0833333333339
4,10,2,10,10,0,1,10,512,100,5,0,4110.416666666667
2,10,4,10,10,1,1000,10,512,100,2,0,7971.75
4,10,2,10,10,1,1000,1000,1024,10000,2,0,5173.25
2,10,4,10,10,0,1,10,1024,100,2,0,6080.666666666667
4,10,4,1000000,10,0,1000,10,512,100,2,0,3605.1666666666665
2,1,4,1000000,10,1,1,10,1024,100,2,29,6073.583333333333
2,10,2,10,10,1,1000,10,1024,100,5,29,8990.4166666666661
4,1,4,10,1,1,1,10,512,100,5,29,886.83333333333337
4,10,2,10,1,1,1000,10,512,100,2,0,7404.0
4,1,2,1000000,10,0,1000,10,1024,100,2,29,5335.0
2,1,4,1000000,1,0,1,10,1024,100,5,29,904.25
2,1,4,10,1,0,1,1000,1024,10000,2,29,909.75
2,10,2,1000000,1,0,1,10,1024,100,2,0,904.75
2,1,4,1000000,1,0,1,1000,1024,10000,2,29,890.66666666666663
2,1,2,1000000,1,0,1000,10,1024,100,2,29,9738.0
2,1,2,1000000,10,0,1,10,512,100,2,29,6399.416666666667
4,1,2,10,10,1,1,10,512,100,2,29,4123.75
2,1,2,10,10,0,1,1000,512,10000,5,29,6314.166666666667
