SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwrite.2
1,0,1,0,0,0,1,1,1,0,0,0,0,1,0.157581107923
1,1,0,1,0,0,0,0,0,0,0,0,1,0,0.174795850806
0,1,1,0,1,1,1,1,1,1,0,0,1,1,0.218053409843
1,1,1,1,1,0,1,0,1,0,0,0,1,1,0.096005296844
1,1,1,0,0,1,0,0,0,1,1,1,0,0,0.725226219378
0,1,1,1,1,0,1,0,0,1,1,1,1,0,0.628338115206
1,1,1,1,1,0,1,0,1,1,0,1,1,0,0.641800926948
1,0,0,0,1,0,1,1,1,1,0,0,0,0,0.249834473626
0,1,0,0,0,1,0,1,1,0,0,1,1,1,0.519752813948
0,1,0,0,1,0,0,1,1,1,0,0,1,1,0.181196203928
0,1,1,0,0,0,0,0,1,1,0,1,0,1,0.806665195321
1,0,0,1,1,1,0,1,0,1,1,1,1,0,0.769366585743
0,0,1,0,1,0,0,1,1,1,1,0,1,0,0.15713970426
0,1,1,1,1,0,0,1,1,1,1,1,1,1,0.610461266829
1,0,0,1,1,1,0,1,0,1,1,1,0,1,0.762524828956
0,0,0,1,0,0,1,0,0,1,1,1,1,1,0.642242330611
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.114985654381
1,1,0,1,0,1,1,0,1,1,0,0,0,1,0.399470315604
1,1,1,0,1,0,1,1,0,0,1,1,0,1,0.544030015449
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.21408077687
1,1,0,1,1,0,1,0,1,1,1,1,1,1,0.608033546678
0,0,1,1,1,1,0,1,0,0,0,1,0,1,0.546016331936
0,0,1,1,1,1,1,0,1,0,0,1,0,0,0.5561686162
0,1,1,1,0,0,0,0,0,1,1,1,1,1,0.635179871993
0,1,1,0,1,1,0,0,1,1,1,1,0,1,0.75457956301
1,0,0,1,1,1,1,0,0,1,0,1,0,0,0.772015007725
0,1,0,1,1,1,1,1,1,0,0,1,1,1,0.562348267491
1,0,1,1,0,0,0,0,0,0,1,1,1,0,0.463473846833
1,1,0,0,0,1,0,1,0,1,1,1,0,1,0.653277422203
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.131979695431
0,1,1,0,1,0,1,0,0,0,0,1,1,1,0.534319134849
1,0,1,1,0,0,0,0,1,1,1,0,0,0,0.213639373207
1,1,1,0,1,1,0,1,1,0,0,1,0,1,0.583314941514
0,1,1,1,1,1,1,0,0,1,0,0,0,0,0.416905760318
1,0,1,0,1,1,0,1,1,1,1,1,1,0,0.703818141691
0,0,1,0,1,0,0,1,1,0,0,1,0,0,0.550871772236
1,0,0,1,1,1,0,1,0,1,0,0,1,0,0.233061134407
1,0,1,1,1,0,0,0,1,0,0,1,0,1,0.503641580225
1,0,0,0,1,1,1,1,1,1,1,1,0,0,0.639373206798
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.0481129993379
0,1,1,0,0,0,1,0,0,1,1,1,1,1,0.59611564776
0,1,1,1,0,1,1,0,1,1,0,1,0,0,0.703597439859
0,0,0,0,1,1,1,1,1,0,0,1,1,1,0.56830721695
