topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$latency
4,10,4,1000000,10,1,1000,10,512,100,5,0,0.631211716121
2,1,2,1000000,1,1,1,1000,512,10000,5,29,6.3538842814e-06
2,1,2,1000000,10,0,1,1000,512,10000,5,29,0.000126248918113
2,10,4,10,1,0,1000,1000,512,10000,2,0,0.00842690809217
2,10,4,1000000,10,1,1000,10,512,100,5,29,0.287243914291
4,1,2,10,10,0,1,10,1024,100,2,29,0.000421290153441
4,10,4,10,10,0,1,1000,1024,10000,5,29,0.000414936269159
2,10,4,1000000,10,0,1,1000,512,10000,5,0,0.000145034315119
4,1,4,10,1,1,1000,1000,1024,10000,2,29,0.0280145520525
4,10,2,1000000,10,0,1000,1000,512,10000,2,0,0.810113339483
2,10,4,10,10,1,1,1000,512,10000,2,29,0.000151664455239
4,1,4,1000000,1,1,1,10,1024,100,2,0,5.91187494009e-05
4,1,2,1000000,10,0,1,1000,1024,10000,5,0,0.000407201105686
2,10,4,10,10,0,1,10,512,100,2,29,0.00017127861976
4,10,2,1000000,1,0,1000,1000,1024,10000,5,0,0.0276203349713
4,1,4,1000000,1,1,1,10,1024,100,2,29,4.97260508979e-05
4,1,2,10,10,0,1,1000,1024,10000,2,0,0.0003950458488
4,10,4,10,10,0,1,10,1024,100,2,29,0.000449191993111
4,1,2,1000000,10,0,1,1000,512,10000,2,29,0.000338689657783
4,10,4,10,1,0,1,1000,512,10000,2,29,5.71849585326e-05
2,1,4,1000000,10,0,1000,1000,512,10000,2,29,0.355538501362
2,10,2,1000000,1,0,1,1000,1024,10000,5,29,3.31507005986e-06
4,1,4,1000000,1,0,1000,10,512,100,2,29,0.0233560498509
2,10,2,10,1,1,1,1000,1024,10000,5,29,5.52511676644e-06
4,10,4,1000000,1,0,1000,1000,1024,10000,2,0,0.0213429735571
2,10,4,1000000,1,1,1,10,512,100,2,29,5.52511676644e-06
4,10,2,1000000,10,0,1000,10,1024,100,2,29,0.625844617694
2,1,2,10,1,0,1000,10,512,100,2,0,0.0102872149074
2,1,4,1000000,10,1,1,1000,512,10000,5,29,0.000141166733382
2,1,4,10,1,1,1,1000,512,10000,2,0,8.28767514965e-06
4,10,2,10,1,0,1000,10,512,100,5,29,0.016261523667
2,10,4,1000000,1,1,1,10,512,100,5,29,7.73516347301e-06
4,1,2,1000000,1,1,1000,10,512,100,2,0,0.0278791866918
4,1,4,1000000,1,0,1,1000,512,10000,5,0,4.28196549399e-05
2,10,2,1000000,1,0,1000,10,512,100,2,0,0.00972752057899
2,1,4,10,1,1,1000,1000,512,10000,2,0,0.00938523959531
4,10,4,10,1,0,1000,1000,512,10000,5,29,0.0200594889322
4,10,4,10,10,0,1000,1000,1024,10000,2,0,0.59274005182
2,1,4,10,10,1,1,10,512,100,2,0,0.000146415594311
4,10,2,1000000,1,1,1,1000,512,10000,5,29,5.27648651195e-05
4,1,2,1000000,10,0,1,1000,512,10000,5,29,0.000426539014369
4,1,4,1000000,1,0,1,10,1024,100,5,0,4.116211991e-05
4,1,4,1000000,1,0,1000,10,1024,100,5,29,0.0223955083011
2,10,2,10,1,0,1000,1000,512,10000,5,29,0.00992449099171
4,1,2,10,1,0,1,1000,1024,10000,2,0,5.13835859279e-05
4,1,4,1000000,10,1,1,10,512,100,2,0,0.000412726222453
4,1,2,10,10,0,1,10,1024,100,2,0,0.000410239919908
2,1,2,1000000,10,0,1,10,512,100,2,29,0.000159399618712
2,1,2,1000000,10,1,1,10,512,100,2,29,0.000125696406436
4,1,2,10,1,0,1,10,512,100,5,0,0.000290897397753
2,1,2,1000000,1,0,1,10,512,100,2,0,7.45890763469e-06
2,10,4,10,10,1,1,10,512,100,2,29,0.000133984081586
2,10,2,10,1,1,1,1000,512,10000,5,0,1.38127919161e-05
2,10,4,10,10,0,1000,10,1024,100,5,29,0.348497016299
4,10,2,10,10,0,1,1000,1024,10000,5,0,0.000391454522902
2,1,2,10,10,0,1,1000,1024,10000,2,29,0.000138127919161
4,1,4,10,1,0,1,10,1024,100,2,29,6.57488895206e-05
2,1,4,10,1,0,1,1000,512,10000,5,0,6.90639595805e-06
4,10,2,1000000,1,0,1000,10,1024,100,5,29,0.0238339724512
4,10,4,1000000,1,0,1,10,1024,100,2,0,5.27648651195e-05
4,10,4,10,1,1,1000,1000,1024,10000,5,29,0.029712144179
4,10,2,1000000,10,0,1,10,1024,100,5,29,0.000405267314818
4,10,2,10,10,0,1000,1000,1024,10000,5,29,0.672185705805
2,1,2,1000000,10,0,1,1000,512,10000,5,0,0.000139509198353
2,1,2,1000000,10,1,1,1000,1024,10000,2,29,0.000159399618712
2,10,2,1000000,10,1,1,10,1024,100,2,29,0.000137851663323
2,10,2,1000000,1,0,1000,1000,1024,10000,2,29,0.0107772927646
4,1,4,10,1,0,1,10,512,100,2,0,6.82351920655e-05
4,1,2,10,1,0,1000,10,512,100,2,29,0.0240414405858
4,10,2,10,10,0,1000,1000,512,10000,2,0,0.693139987397
4,1,2,10,10,0,1000,1000,512,10000,5,29,0.710219780857
2,10,2,10,1,1,1000,10,1024,100,2,0,0.00964436757165
2,1,2,10,10,1,1,10,1024,100,5,29,0.000151664455239
4,1,2,1000000,10,0,1000,10,1024,100,5,29,0.659937074445
2,10,2,1000000,1,0,1,1000,1024,10000,5,0,3.86758173651e-06
4,10,2,10,10,0,1,1000,1024,10000,2,0,0.000407477361525
4,1,2,1000000,10,1,1,1000,512,10000,2,0,0.000402781012273
4,1,2,1000000,1,1,1000,10,1024,100,5,0,0.018663844437
2,1,4,1000000,1,1,1000,10,512,100,5,0,0.00786887129876
4,10,4,10,1,1,1000,10,1024,100,2,29,0.0246218541021
2,1,2,10,10,0,1,1000,512,10000,2,29,0.00013011649985
2,10,4,10,1,0,1000,10,512,100,5,29,0.0102609706028
2,1,2,10,10,0,1000,1000,512,10000,2,29,0.485674615376
4,10,2,10,1,0,1,1000,1024,10000,5,0,4.69634925147e-05
2,1,4,10,1,0,1,10,512,100,5,29,4.14383757483e-06
4,1,2,10,1,1,1,1000,1024,10000,2,29,4.69634925147e-05
2,1,4,1000000,10,1,1000,1000,512,10000,5,29,0.289129912899
2,10,2,1000000,1,0,1,1000,512,10000,2,0,1.24315127245e-05
2,10,2,1000000,1,1,1000,10,512,100,5,29,0.00967972831896
4,10,2,1000000,1,0,1,10,512,100,2,29,5.02785625746e-05
2,1,2,10,10,1,1,1000,1024,10000,2,29,0.000130945267365
2,10,4,1000000,10,0,1,10,512,100,2,0,0.000146139338472
4,10,4,1000000,1,1,1000,10,512,100,5,0,0.0252263018764
2,1,2,10,1,0,1,10,512,100,2,0,5.24886092811e-06
2,10,4,10,10,0,1,1000,1024,10000,2,0,0.000152769478592
2,1,4,1000000,1,1,1000,1000,1024,10000,2,0,0.00951811865354
4,1,4,10,1,0,1000,10,1024,100,5,0,0.0221305789521
4,1,4,1000000,10,1,1,1000,1024,10000,5,29,0.000395598360477
2,1,2,1000000,10,0,1000,10,1024,100,5,29,0.551484833693
4,1,2,1000000,10,0,1,1000,512,10000,5,0,0.00040664859401
4,1,4,1000000,10,0,1,1000,512,10000,2,29,0.000413002478291
4,10,2,1000000,10,0,1000,1000,1024,10000,5,0,0.709536323913
2,10,4,1000000,1,0,1,1000,512,10000,5,29,3.86758173651e-06
2,1,2,1000000,10,0,1000,1000,512,10000,2,0,0.573376175089
4,1,4,1000000,10,0,1,1000,1024,10000,2,29,0.000450020760626
2,1,4,1000000,10,0,1,1000,512,10000,5,29,0.000135365360778
2,10,2,10,10,1,1,1000,512,10000,2,0,0.000136194128293
2,1,2,10,1,0,1,1000,512,10000,2,0,1.38127919161e-06
2,1,2,10,10,0,1,10,512,100,2,0,0.000140061710029
2,1,4,1000000,1,1,1,10,512,100,2,29,7.18265179637e-06
2,1,4,10,10,0,1000,10,512,100,2,0,0.347698084414
4,10,4,10,10,0,1,1000,512,10000,5,0,0.00042957782859
2,10,4,10,1,1,1000,10,1024,100,2,0,0.00818076414022
2,10,2,10,1,0,1,10,512,100,2,0,9.39269850294e-06
2,1,2,1000000,10,1,1000,10,512,100,2,0,0.637471673417
4,1,4,10,1,1,1,1000,512,10000,5,0,7.76278905684e-05
2,1,2,1000000,10,1,1000,1000,512,10000,2,0,0.818863743162
2,10,2,1000000,1,1,1000,1000,1024,10000,2,29,0.010723699132
4,10,4,1000000,1,0,1000,1000,512,10000,2,0,0.0233731777129
4,1,2,10,10,0,1000,10,512,100,2,0,0.817155100802
4,1,4,1000000,10,1,1,1000,512,10000,2,0,0.00051190206841
2,1,2,1000000,1,0,1000,1000,512,10000,5,29,0.00869570502286
4,1,4,10,10,1,1,1000,512,10000,5,0,0.000366867753291
4,10,2,1000000,10,1,1000,1000,1024,10000,2,29,0.659343676904
2,1,2,1000000,1,1,1000,1000,512,10000,2,0,0.00979575577105
2,10,2,1000000,10,0,1,10,1024,100,2,29,0.000146968105987
2,10,4,1000000,1,1,1,10,1024,100,5,29,1.02214660179e-05
4,10,4,1000000,10,0,1000,10,1024,100,5,0,0.581292286136
2,10,4,1000000,10,1,1000,10,1024,100,5,29,0.324270484301
2,1,4,10,10,1,1,10,1024,100,5,0,0.000164372223801
4,1,4,1000000,1,0,1000,10,1024,100,2,0,0.0247867788376
2,10,4,10,1,1,1000,10,512,100,2,0,0.00858989903678
2,1,2,1000000,10,0,1000,1000,1024,10000,2,0,0.606082656299
4,10,2,1000000,10,0,1000,1000,1024,10000,2,0,0.803021299601
2,10,4,1000000,10,1,1000,1000,1024,10000,5,29,0.361949846858
2,1,2,10,1,1,1000,1000,512,10000,5,0,0.0108651421212
4,1,4,1000000,1,1,1000,10,512,100,2,0,0.0239850843948
2,1,2,1000000,1,1,1000,10,1024,100,5,29,0.00943745194875
2,10,2,10,10,0,1,10,512,100,2,0,0.000136470384131
4,10,2,10,1,0,1,1000,1024,10000,2,29,4.8068515868e-05
4,1,4,1000000,1,1,1,10,512,100,2,0,5.82899818859e-05
4,10,4,1000000,1,0,1,1000,1024,10000,2,0,4.97260508979e-05
2,10,4,10,1,1,1000,1000,512,10000,5,0,0.00845066609426
2,1,2,10,1,1,1,10,1024,100,2,29,4.42009341315e-06
2,10,4,1000000,1,0,1000,10,1024,100,2,0,0.0083398875031
2,10,4,10,10,1,1000,1000,512,10000,2,29,0.373353411608
2,1,2,10,1,0,1000,10,512,100,2,29,0.0098667535215
2,1,2,1000000,10,1,1,10,512,100,5,29,0.000132050290718
4,1,2,1000000,1,0,1000,1000,512,10000,2,0,0.0219162044216
4,1,2,1000000,1,0,1,10,512,100,5,29,4.77922600297e-05
2,1,4,1000000,10,1,1,1000,512,10000,2,0,0.000145586826796
2,10,4,1000000,10,0,1000,10,512,100,2,0,0.335522937108
2,1,2,1000000,1,0,1000,10,1024,100,2,0,0.0101007422166
4,1,4,10,10,0,1,10,512,100,2,29,0.000324876865866
4,10,2,1000000,10,0,1,1000,512,10000,2,29,0.000439246782932
4,10,4,10,1,0,1,10,1024,100,2,0,4.8897283383e-05
2,1,4,10,1,1,1,10,1024,100,2,29,5.24886092811e-06
4,10,2,1000000,1,1,1,1000,1024,10000,5,29,6.21575636224e-05
2,10,2,10,1,1,1000,10,1024,100,2,29,0.00839845374082
4,10,4,1000000,1,1,1,10,1024,100,5,0,5.82899818859e-05
4,1,2,10,10,1,1000,10,1024,100,2,29,0.500472259356
2,1,2,10,10,0,1000,10,512,100,5,29,0.632640787572
4,1,4,1000000,1,1,1000,1000,1024,10000,2,0,0.020728028061
2,10,4,1000000,1,1,1,10,1024,100,2,29,0.000120447545508
2,1,2,1000000,1,0,1,1000,512,10000,5,29,6.90639595805e-06
2,1,4,10,10,0,1000,1000,512,10000,5,29,0.304131709944
4,10,4,1000000,10,1,1,1000,512,10000,2,29,0.000420461385926
2,1,2,1000000,10,1,1,1000,1024,10000,5,0,0.000138956686676
2,10,4,1000000,1,1,1000,10,1024,100,5,29,0.00906450656702
4,1,4,1000000,10,0,1,10,1024,100,2,0,0.000451402039818
2,10,4,1000000,1,0,1,1000,1024,10000,5,0,8.8401868263e-06
4,10,2,10,1,0,1,10,1024,100,5,29,5.05548184129e-05
4,1,2,1000000,10,1,1000,10,512,100,2,29,0.69184407126
4,10,4,10,10,1,1,10,1024,100,5,29,0.000413278734129
4,10,2,1000000,10,1,1,1000,1024,10000,5,0,0.000411344943261
4,10,2,1000000,1,0,1,10,512,100,5,0,5.05548184129e-05
4,10,2,1000000,10,1,1000,10,1024,100,2,0,0.735059877072
4,1,4,1000000,1,0,1000,1000,1024,10000,5,0,0.0251163520527
4,1,4,1000000,1,1,1000,10,512,100,5,0,0.0268498574382
2,1,4,10,1,1,1000,10,512,100,2,0,0.00867857716088
2,1,2,1000000,1,0,1,10,1024,100,2,0,6.3538842814e-06
4,1,4,10,1,1,1,10,512,100,5,29,5.52511676644e-05
4,10,2,10,10,0,1000,1000,1024,10000,2,29,0.66779627679
2,1,4,1000000,10,1,1000,1000,1024,10000,5,29,0.248912035445
2,10,2,10,10,0,1,1000,1024,10000,2,29,0.000148901896855
2,1,2,1000000,10,1,1,10,1024,100,2,0,0.00012845896482
2,10,4,1000000,10,1,1,10,512,100,2,0,0.000143376780089
4,10,4,10,10,0,1000,10,512,100,5,0,0.703745725286
4,10,2,1000000,1,0,1000,1000,1024,10000,2,0,0.0252751991597
4,1,2,10,10,1,1000,1000,1024,10000,2,0,0.495973156773
2,1,4,1000000,10,0,1000,1000,512,10000,5,0,0.306500051245
2,1,4,10,10,1,1000,1000,1024,10000,2,0,0.420196456577
2,1,4,10,10,0,1000,1000,1024,10000,5,29,0.313725798953
4,1,2,1000000,1,1,1,1000,1024,10000,2,29,4.25433991016e-05
2,1,4,10,10,1,1000,1000,1024,10000,5,0,0.300794263161
4,10,2,1000000,10,1,1000,10,1024,100,2,29,0.651702164161
4,10,4,1000000,10,1,1000,10,512,100,5,29,0.729494979465
4,10,4,1000000,1,1,1000,1000,512,10000,2,0,0.0233472096641
4,10,4,1000000,1,1,1000,1000,1024,10000,5,29,0.0281175954802
2,10,4,1000000,1,1,1000,1000,1024,10000,5,0,0.00979907084111
2,1,4,10,1,1,1000,1000,1024,10000,5,0,0.0083362961772
4,1,2,10,10,1,1,10,1024,100,5,29,0.000403886035627
2,1,4,10,1,1,1,1000,1024,10000,5,29,7.45890763469e-06
4,10,4,1000000,10,0,1000,10,512,100,2,0,0.663389443657
4,1,4,10,1,1,1,10,512,100,5,0,4.58584691614e-05
4,1,4,1000000,10,1,1,1000,512,10000,5,0,0.000560799351793
2,10,4,1000000,10,1,1000,1000,512,10000,5,29,0.238043025742
2,10,2,1000000,10,1,1,1000,1024,10000,5,29,0.000128182708981
2,1,2,1000000,1,1,1000,1000,1024,10000,5,0,0.0095971278233
4,10,4,1000000,10,0,1,10,512,100,2,29,0.000474331274399
4,1,2,1000000,10,0,1000,1000,1024,10000,2,0,0.675770677819
4,1,2,10,10,1,1000,10,1024,100,5,29,0.678276870784
4,10,2,10,10,0,1,1000,512,10000,5,0,0.000390625755387
4,10,4,10,1,1,1,1000,1024,10000,5,29,5.5803679341e-05
2,10,4,10,1,1,1,10,512,100,5,29,4.14383757483e-06
4,1,2,1000000,1,1,1000,10,1024,100,2,0,0.026445142635
4,10,4,10,1,1,1,1000,512,10000,2,29,3.81233056884e-05
4,10,4,10,10,1,1000,10,1024,100,2,29,0.619320559816
4,10,2,1000000,10,1,1,1000,512,10000,2,29,0.000372669125896
2,10,4,10,1,1,1000,1000,1024,10000,2,0,0.0099626142974
2,10,2,1000000,10,0,1000,1000,512,10000,2,29,0.556672089569
4,1,2,1000000,1,1,1,1000,512,10000,2,0,5.74612143709e-05
4,1,2,1000000,10,0,1,1000,1024,10000,2,29,0.000423776455986
4,1,4,1000000,10,0,1,10,1024,100,2,29,0.000439799294608
4,10,2,10,1,0,1000,1000,512,10000,5,29,0.0225822572478
4,10,2,1000000,10,1,1000,1000,512,10000,2,0,0.661662292155
4,10,2,1000000,1,1,1000,10,1024,100,5,0,0.0229681866539
2,1,4,10,10,0,1,10,1024,100,2,29,0.000147796873502
2,10,4,1000000,1,0,1,10,512,100,2,29,4.69634925147e-06
2,1,2,1000000,10,1,1000,10,1024,100,5,0,0.550804415563
2,10,2,1000000,1,1,1000,10,1024,100,2,0,0.00966094292195
4,10,4,1000000,1,1,1000,10,512,100,2,29,0.025317466303
2,10,2,1000000,1,1,1,1000,512,10000,5,29,4.14383757483e-06
2,1,2,1000000,1,1,1,10,512,100,2,0,4.97260508979e-06
2,1,2,1000000,10,0,1000,1000,512,10000,5,0,0.454000778489
2,1,4,1000000,10,0,1,1000,512,10000,5,0,0.000146415594311
2,10,4,10,10,0,1,10,1024,100,2,29,0.00015967587455
4,1,4,10,10,0,1000,1000,1024,10000,5,0,0.661531623144
4,1,2,10,10,0,1000,1000,512,10000,5,0,0.577454816286
2,1,2,10,1,1,1,1000,512,10000,2,0,7.45890763469e-06
2,10,4,1000000,10,0,1,1000,1024,10000,5,0,0.000145863082634
2,10,2,1000000,1,1,1000,10,1024,100,5,0,0.0103024089785
2,10,2,10,1,0,1,10,512,100,5,0,3.31507005986e-06
4,1,4,10,10,0,1,1000,1024,10000,5,0,0.000503890649099
2,10,4,1000000,10,0,1000,10,512,100,5,0,0.380855415153
2,1,2,10,10,0,1000,10,1024,100,2,29,0.324828521095
2,1,2,10,10,0,1000,1000,1024,10000,5,29,0.701605847563
2,1,2,1000000,1,0,1,1000,512,10000,2,0,4.69634925147e-06
2,10,4,10,1,0,1,10,1024,100,2,0,3.31507005986e-06
4,10,4,10,1,0,1000,1000,1024,10000,5,29,0.0224822526343
2,10,4,1000000,1,0,1,10,512,100,5,29,6.3538842814e-06
4,10,4,1000000,10,0,1000,1000,512,10000,5,0,0.511005065703
4,10,2,1000000,10,1,1000,1000,1024,10000,5,0,0.714185433416
2,1,2,1000000,1,1,1000,1000,1024,10000,5,29,0.0122538802204
4,10,2,10,1,1,1000,10,512,100,5,0,0.0237842464003
2,10,2,1000000,1,1,1,1000,512,10000,2,29,1.46415594311e-05
4,10,4,1000000,10,0,1,10,512,100,2,0,0.00044946824895
2,1,2,1000000,10,1,1000,1000,512,10000,5,0,0.541142920129
2,10,4,1000000,10,1,1000,10,1024,100,2,29,0.4257337286
2,10,2,1000000,10,1,1000,10,512,100,5,29,0.618078237311
4,1,4,10,1,1,1,10,1024,100,5,0,8.20479839816e-05
4,1,2,10,10,1,1,1000,512,10000,5,29,0.000382061824399
2,10,4,10,10,1,1,10,1024,100,2,0,0.000129287732335
4,10,4,1000000,10,1,1000,10,512,100,2,0,0.721964797824
4,1,4,10,10,0,1,1000,512,10000,5,0,0.000438418015417
4,10,4,10,10,0,1,10,512,100,5,29,0.000379299266016
2,1,2,10,10,0,1000,10,512,100,5,0,0.484036970766
4,10,4,10,10,1,1,10,1024,100,2,29,0.000466872366764
2,1,4,1000000,10,1,1,10,512,100,5,0,0.000150559431885
4,1,4,1000000,10,1,1000,1000,512,10000,2,0,0.606092325254
2,10,2,1000000,10,1,1,10,512,100,2,0,0.000140061710029
2,1,2,1000000,10,1,1000,1000,512,10000,2,29,0.737096987623
4,10,2,10,1,0,1000,1000,1024,10000,5,0,0.0190530889132
4,1,4,1000000,1,0,1000,10,512,100,5,29,0.0212631356198
2,10,4,10,10,1,1,1000,1024,10000,2,0,0.000141166733382
4,1,2,10,10,0,1000,1000,512,10000,2,29,0.709600967779
2,10,4,1000000,1,0,1000,10,512,100,2,0,0.00779953108334
4,10,2,1000000,1,1,1000,1000,1024,10000,2,29,0.0238624268026
2,1,2,1000000,1,1,1,10,1024,100,2,0,6.63014011972e-06
4,10,2,10,1,0,1,1000,512,10000,5,29,4.83447717063e-05
4,1,2,1000000,1,0,1000,1000,1024,10000,2,0,0.0229924971677
4,1,2,10,10,1,1,10,512,100,5,0,0.000395874616315
2,1,2,10,10,0,1,10,512,100,5,29,0.000150559431885
4,10,4,10,1,0,1000,10,512,100,2,29,0.023473734838
2,1,4,1000000,1,0,1000,1000,1024,10000,2,0,0.00679837992526
4,1,4,1000000,1,0,1,1000,512,10000,2,29,4.86210275446e-05
2,1,2,10,10,1,1000,10,1024,100,2,0,0.51811865354
2,1,2,10,10,1,1000,10,1024,100,5,29,0.343842934191
2,1,2,10,1,1,1000,1000,1024,10000,5,29,0.00953524651552
4,1,4,1000000,1,0,1,10,512,100,2,29,4.69634925147e-05
2,1,2,1000000,10,0,1,1000,512,10000,2,29,0.000144758059281
4,1,4,1000000,10,0,1000,10,512,100,2,0,0.553488517288
2,1,4,10,1,0,1000,1000,1024,10000,5,29,0.0106424799155
4,10,2,1000000,10,1,1,1000,512,10000,5,29,0.000388691964519
2,1,4,1000000,1,0,1,10,512,100,5,29,1.60228386227e-05
4,10,2,10,1,1,1000,10,512,100,2,29,0.0240281803056
4,1,2,1000000,10,1,1000,10,1024,100,2,29,0.67790337289
2,1,2,1000000,10,1,1,1000,512,10000,2,0,0.000148349385179
2,1,4,1000000,1,0,1,10,1024,100,2,29,6.90639595805e-06
4,1,4,1000000,1,1,1000,10,1024,100,5,29,0.0223662251822
4,1,4,10,1,1,1000,10,512,100,5,0,0.0271971110269
4,1,2,1000000,10,1,1,1000,512,10000,5,29,0.000449191993111
2,10,4,10,1,1,1000,10,512,100,5,29,0.0104979981121
2,10,4,10,10,1,1,1000,1024,10000,5,0,0.000151111943562
4,10,4,10,10,0,1000,1000,512,10000,2,29,0.618318303634
4,10,2,1000000,1,0,1,1000,1024,10000,2,29,5.24886092811e-05
4,10,2,1000000,10,0,1,10,512,100,5,0,0.000407201105686
4,1,4,10,10,0,1,10,1024,100,5,0,0.000407753617363
2,10,2,10,10,1,1000,10,1024,100,2,0,0.500558451177
2,10,4,10,10,1,1000,1000,1024,10000,2,0,0.281843665164
2,1,4,1000000,1,1,1,10,1024,100,2,29,1.43653035927e-05
2,10,4,1000000,10,0,1000,1000,1024,10000,5,0,0.397157548428
2,10,4,10,10,0,1000,1000,512,10000,5,0,0.376317360497
2,1,4,1000000,1,1,1000,10,1024,100,2,0,0.00965403652599
2,1,4,10,1,1,1,1000,512,10000,5,0,4.97260508979e-06
2,1,4,10,1,1,1000,1000,512,10000,2,29,0.00849680081926
2,10,4,1000000,10,0,1000,10,512,100,5,29,0.414687086393
2,10,2,1000000,10,0,1,10,512,100,2,29,0.000145586826796
4,1,2,10,1,0,1000,1000,512,10000,5,29,0.0260484392512
2,10,2,10,1,0,1000,1000,1024,10000,5,0,0.00958745886896
4,10,4,1000000,1,0,1,10,512,100,2,0,8.48105423648e-05
2,10,2,10,1,1,1,10,512,100,2,29,3.59132589818e-06
2,10,4,1000000,10,0,1,10,512,100,5,29,0.000162162177095
4,1,4,1000000,10,0,1000,10,1024,100,5,29,0.698896606556
4,10,4,10,10,0,1,10,512,100,2,0,0.000403886035627
2,10,2,10,10,0,1000,10,1024,100,2,29,0.661053700544
2,1,4,10,1,0,1000,1000,1024,10000,2,29,0.00851061361118
4,10,2,10,1,0,1,10,1024,100,2,29,4.83447717063e-05
2,1,4,10,10,0,1000,1000,512,10000,2,0,0.361746798816
4,10,4,10,10,1,1,1000,1024,10000,5,0,0.000429301572752
4,10,4,10,1,0,1000,10,1024,100,5,0,0.0221919077482
2,1,2,1000000,10,1,1,10,1024,100,2,29,0.000132879058233
2,10,4,10,10,0,1,10,512,100,2,0,0.000137575407484
4,10,4,10,10,0,1000,1000,1024,10000,5,0,0.506207330559
2,1,4,1000000,1,0,1,1000,1024,10000,2,29,6.07762844308e-06
4,10,2,1000000,10,1,1000,10,1024,100,5,0,0.672879384215
4,1,2,10,1,1,1000,10,1024,100,5,0,0.0252180142012
2,10,2,1000000,1,1,1,1000,512,10000,5,0,5.24886092811e-06
2,10,2,10,10,1,1,1000,1024,10000,5,0,0.00012680142979
2,10,2,10,1,1,1,1000,512,10000,2,29,1.13264893712e-05
4,10,4,10,1,1,1000,1000,512,10000,5,29,0.036847556227
2,1,2,1000000,10,1,1000,1000,512,10000,5,29,0.404383572391
4,1,2,1000000,10,0,1000,10,1024,100,2,0,0.735181429641
2,10,4,10,1,1,1,1000,1024,10000,2,0,1.07739776946e-05
2,1,4,10,10,1,1,1000,1024,10000,5,0,0.000191169040119
2,1,4,1000000,10,1,1000,1000,1024,10000,2,29,0.342946760251
2,10,4,1000000,1,0,1000,10,1024,100,5,29,0.00913274175908
2,1,4,1000000,10,0,1000,1000,512,10000,5,29,0.314714242342
2,1,2,10,1,1,1,10,512,100,2,0,5.24886092811e-06
2,1,4,1000000,10,0,1,10,1024,100,2,29,0.000156913316167
4,1,2,1000000,1,1,1,10,1024,100,2,29,5.08310742512e-05
2,1,2,10,1,1,1,1000,1024,10000,5,29,1.79566294909e-05
2,10,4,1000000,10,0,1000,1000,512,10000,5,29,0.214278669762
2,10,2,1000000,10,1,1,10,1024,100,5,0,0.000143929291766
4,1,2,1000000,10,1,1000,1000,1024,10000,5,29,0.674623387322
4,10,4,10,10,0,1,1000,1024,10000,2,29,0.000398637174698
4,1,4,1000000,10,1,1,10,1024,100,5,29,0.000497260508979
4,1,2,10,10,0,1000,1000,512,10000,2,0,0.765678692912
4,1,2,1000000,10,0,1,10,1024,100,2,29,0.000381509312722
4,1,2,10,1,1,1,10,1024,100,5,29,0.000313826632334
4,10,4,10,1,1,1000,1000,512,10000,2,29,0.0258799231898
2,1,4,1000000,1,1,1,10,1024,100,2,0,4.97260508979e-06
2,10,4,10,1,0,1,10,512,100,5,29,4.14383757483e-06
2,10,2,10,1,0,1,1000,1024,10000,5,29,7.18265179637e-06
2,10,2,1000000,10,1,1,10,1024,100,5,29,0.000144481803442
4,1,2,10,10,1,1,10,512,100,5,29,0.000374050405088
4,10,2,1000000,10,1,1,1000,1024,10000,2,29,0.000434274177842
4,10,4,10,10,1,1,10,512,100,2,0,0.000486210275446
4,1,4,10,10,0,1,1000,512,10000,2,29,0.000413002478291
4,10,2,1000000,10,1,1,1000,1024,10000,5,29,0.000571849585326
2,1,2,10,1,1,1000,10,1024,100,2,0,0.00933717107944
4,1,4,1000000,10,1,1,10,1024,100,2,29,0.000414107501644
4,10,4,1000000,10,1,1,10,512,100,5,29,0.000412726222453
4,10,2,1000000,1,0,1,10,512,100,2,0,7.43128205086e-05
2,1,4,10,1,0,1,10,512,100,5,0,2.4863025449e-06
4,10,2,1000000,10,0,1000,10,512,100,5,29,0.673713953102
4,10,4,1000000,10,1,1000,1000,1024,10000,5,0,0.58366642881
4,10,4,1000000,10,0,1000,1000,1024,10000,2,29,0.545436764624
4,1,4,1000000,10,0,1000,1000,1024,10000,5,0,0.731547560343
2,10,2,10,1,1,1000,10,1024,100,5,0,0.0105899913062
4,10,4,1000000,10,1,1000,1000,512,10000,5,0,0.614407073475
2,1,4,1000000,10,1,1000,1000,512,10000,5,0,0.400113485898
2,1,2,1000000,10,0,1000,10,1024,100,5,0,0.389534821082
2,1,2,1000000,10,1,1000,10,512,100,5,0,0.450800354602
4,1,4,10,10,0,1000,10,512,100,2,0,0.534503387311
4,1,2,1000000,1,0,1000,10,512,100,5,29,0.0227676249153
2,10,2,1000000,1,0,1000,10,1024,100,5,29,0.0107220415969
2,10,4,1000000,1,0,1000,10,512,100,5,0,0.00831281443094
4,10,2,10,10,1,1000,10,512,100,2,29,0.765015955156
4,10,4,1000000,1,1,1,1000,512,10000,5,29,8.34292631732e-05
4,10,2,10,10,0,1000,1000,1024,10000,5,0,0.597251862172
4,1,4,1000000,10,0,1000,1000,512,10000,2,0,0.577245138104
2,10,4,1000000,10,0,1000,1000,1024,10000,2,29,0.269009095171
