SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqsync
0,1,1,0,0,1,1,0,1,0,0,0,0,0,2526.4
1,1,1,0,0,1,0,1,1,1,1,0,1,0,2524.2
0,1,1,1,0,1,0,0,1,0,0,0,1,0,2513.0
1,1,1,1,0,1,0,0,1,0,1,1,1,1,2538.9
1,1,1,0,1,0,1,1,0,1,1,1,0,0,2541.0
1,1,0,1,0,0,1,0,0,0,0,1,0,0,2536.5
1,1,0,0,1,0,0,0,1,1,1,0,1,1,2533.1
1,1,0,0,0,1,0,1,0,0,0,1,0,0,2532.7
0,1,0,1,1,1,1,0,0,1,1,0,0,0,2515.8
0,1,0,0,1,1,0,0,0,0,0,1,1,1,2531.5
0,0,1,0,1,1,1,1,0,1,0,0,1,0,2530.4
0,0,0,0,0,1,1,1,1,0,1,0,1,1,2523.7
0,1,1,1,1,1,0,0,0,1,0,1,0,1,2544.7
1,1,1,1,1,0,1,0,1,0,0,1,1,1,2515.4
0,1,1,1,0,1,1,0,0,1,1,0,1,1,2525.1
0,0,0,0,0,0,1,0,1,0,1,0,0,0,2530.1
0,0,0,1,0,0,0,0,1,0,1,0,0,1,2516.9
0,1,0,0,0,0,0,0,0,1,1,0,1,1,2512.2
1,1,0,0,1,1,1,1,1,1,1,0,0,1,2543.5
0,1,0,1,0,0,1,0,1,0,0,0,1,0,2524.8
1,1,1,1,0,0,1,0,0,1,1,1,0,1,2537.1
1,1,0,1,0,0,0,0,0,1,1,0,1,0,2512.2
1,0,0,1,1,1,1,1,0,0,0,0,0,1,2528.7
0,0,0,1,0,1,1,1,1,0,0,1,0,1,2532.9
1,1,0,0,0,0,1,0,1,1,0,0,1,0,2522.2
0,0,0,1,1,1,0,1,1,0,1,0,1,0,2518.3
1,1,0,0,1,1,1,1,0,0,1,0,1,1,2525.9
0,1,0,1,0,1,0,1,1,1,0,1,0,1,2535.9
0,0,1,1,1,0,0,0,0,1,1,1,1,1,2535.9
1,0,0,0,1,0,1,1,1,0,0,1,1,0,2530.2
0,0,1,1,1,1,1,1,0,0,1,1,0,1,2533.8
0,0,1,1,0,0,1,1,1,1,1,0,1,1,2520.1
0,1,0,0,1,1,1,0,0,1,1,1,1,1,2537.4
1,0,1,0,1,1,0,1,1,0,0,0,0,1,2523.0
0,1,1,0,1,0,1,1,0,0,0,0,0,0,2529.3
1,0,0,0,0,0,1,1,0,0,0,1,1,0,2528.7
1,1,1,1,1,1,1,0,1,0,1,0,0,0,2535.2
0,0,0,1,0,1,1,0,1,1,0,0,0,1,2540.6
1,0,0,1,1,0,0,1,0,1,1,0,0,0,2520.8
1,0,0,1,0,0,1,0,0,0,1,0,1,0,2510.7
1,1,1,0,0,1,0,0,0,0,0,1,1,0,2557.9
1,1,0,1,1,1,1,0,0,0,1,0,1,1,2529.4
1,0,1,1,0,1,0,1,0,1,1,1,1,0,2533.3
1,0,1,1,1,0,0,0,1,1,1,1,1,0,2532.6
1,0,1,0,0,1,0,0,1,0,1,0,0,0,2519.4
0,0,1,0,0,0,1,1,1,1,0,1,1,1,2519.9
0,1,1,1,0,1,0,1,1,0,0,0,0,0,2538.4
0,0,1,0,0,0,1,1,1,0,1,1,1,1,2526.6
0,1,0,0,1,0,0,1,1,0,1,1,0,1,2541.0
1,1,1,1,0,1,1,0,1,0,1,1,1,0,2526.1
1,1,0,0,1,0,1,1,0,1,1,0,0,1,2525.3
1,0,1,1,1,1,0,1,1,1,1,1,1,1,2549.2
0,0,1,1,1,0,1,0,1,1,1,1,1,0,2542.2
0,1,0,1,1,1,1,1,1,0,1,0,1,1,2507.9
0,0,0,0,0,1,1,0,1,1,1,0,1,0,2519.6
1,0,0,0,0,0,1,1,0,1,1,0,1,0,2506.0
0,0,0,1,0,0,0,0,0,1,0,0,1,1,2517.3
1,1,0,1,0,0,1,1,1,0,0,1,1,1,2546.0
1,0,0,0,1,1,1,1,0,0,0,1,0,1,2540.1
1,0,1,0,1,0,1,1,0,1,0,1,0,0,2540.9
1,0,1,0,1,1,0,1,0,1,1,1,0,1,2519.9
1,0,1,1,0,0,0,0,1,1,1,1,1,0,2543.2
0,0,1,0,1,1,1,0,0,0,0,0,1,0,2539.2
0,1,0,1,1,1,1,1,1,1,1,0,1,0,2518.8
0,1,0,1,0,0,0,0,0,0,1,0,1,0,2527.0
1,0,0,1,0,0,1,1,0,1,1,1,0,1,2538.9
0,1,0,0,0,0,0,0,1,1,0,0,0,1,2527.3
0,0,1,0,0,1,1,0,1,1,1,1,0,0,2530.6
1,0,1,1,0,1,1,1,1,0,0,0,1,1,2528.7
0,1,0,0,1,1,1,1,0,0,0,1,1,0,2526.9
1,1,0,0,0,0,0,1,1,1,0,1,0,0,2535.0
0,0,1,1,0,1,1,1,0,0,0,1,1,0,2530.3
1,0,1,0,0,0,1,1,1,0,1,0,0,1,2536.9
0,1,1,0,0,1,0,0,0,1,1,0,0,1,2535.9
1,1,0,0,0,0,0,0,0,0,0,1,1,1,2525.7
1,0,0,1,0,1,0,0,1,0,1,1,0,0,2533.7
1,1,1,0,1,0,1,1,0,1,0,0,0,1,2515.8
1,1,0,0,1,1,0,1,0,0,0,1,1,1,2533.3
1,0,1,1,0,1,1,1,1,1,0,1,0,1,2521.0
0,0,0,0,1,0,1,1,1,0,1,0,0,1,2524.9
0,1,1,1,0,1,0,1,0,1,1,1,0,1,2516.5
0,0,1,0,1,1,0,0,0,0,0,1,1,1,2530.3
0,1,0,1,0,1,0,0,1,0,1,1,1,1,2518.5
0,1,1,0,0,0,1,1,0,0,0,0,0,1,2521.1
0,1,1,1,1,0,1,0,0,0,0,0,0,1,2545.5
1,1,1,1,0,1,0,0,1,0,0,1,0,1,2548.5
1,0,1,0,0,1,0,1,1,0,1,1,0,0,2533.6
1,0,1,0,0,0,0,1,1,0,1,0,1,0,2520.3
0,1,1,0,0,1,0,0,1,0,1,0,1,1,2522.1
0,0,0,0,0,0,1,0,1,0,1,1,1,0,2536.0
0,0,1,0,1,1,1,0,1,0,0,1,0,0,2542.0
0,0,1,1,1,0,0,0,1,0,0,1,0,0,2531.9
1,0,1,1,1,0,0,1,0,0,1,1,1,0,2533.1
0,0,1,0,1,1,0,1,0,1,0,0,1,1,2517.0
1,1,0,0,1,0,0,1,1,1,1,0,1,1,2526.2
1,1,0,0,1,1,0,1,0,0,0,1,0,1,2533.5
1,0,1,1,0,0,0,0,0,1,0,0,1,0,2528.3
1,1,0,0,0,1,0,0,1,1,0,0,1,0,2528.3
0,1,0,1,1,0,0,0,0,0,0,1,1,0,2536.8
1,0,0,1,0,1,0,0,0,0,1,0,0,1,2512.8
1,1,1,0,0,1,0,1,1,0,0,0,1,0,2523.8
1,0,0,1,0,1,1,0,1,1,1,1,1,1,2530.1
1,1,0,1,1,0,1,1,1,1,1,1,1,0,2528.5
1,0,0,1,1,1,1,1,0,1,1,0,0,1,2507.5
0,0,1,0,1,1,0,0,0,1,0,0,1,0,2525.0
1,1,1,1,0,0,0,1,0,0,0,0,0,0,2501.9
1,1,1,1,0,0,1,1,0,0,0,0,0,1,2520.9
0,1,1,0,0,0,1,1,1,1,0,1,0,1,2516.2
0,0,0,1,1,0,1,0,0,0,0,1,1,0,2534.8
0,1,0,1,1,0,1,0,1,0,0,0,1,0,2499.2
0,0,0,0,1,0,0,1,1,0,1,1,0,1,2531.0
1,1,0,0,0,1,1,1,1,1,1,0,0,0,2534.7
0,1,0,1,1,1,0,1,0,1,0,0,0,1,2541.6
1,0,0,1,0,0,0,1,0,0,1,1,0,0,2512.9
0,0,0,1,1,0,1,1,1,0,1,1,0,1,2533.0
1,1,0,1,0,0,1,0,0,1,1,0,1,0,2521.2
0,0,0,1,0,1,0,1,1,0,1,1,0,1,2535.4
1,1,1,0,0,1,1,1,1,1,0,1,1,0,2520.1
0,1,0,0,0,1,1,1,0,1,1,0,1,0,2499.0
1,1,0,0,0,0,1,1,1,1,1,1,0,1,2545.2
1,0,0,1,1,1,1,1,1,0,0,0,1,1,2521.9
1,1,0,0,1,0,0,0,0,1,0,0,1,1,2526.5
1,0,0,1,1,1,1,1,1,1,1,1,0,1,2535.8
1,1,0,0,0,1,0,0,1,1,1,0,1,1,2514.0
1,0,1,1,1,0,1,0,0,0,0,1,1,1,2529.8
1,1,1,1,1,1,0,0,0,1,1,0,0,0,2529.6
0,1,1,1,1,1,0,0,0,1,0,1,1,1,2548.9
0,0,1,1,1,1,1,1,1,0,0,0,1,0,2508.9
1,0,1,1,1,1,0,1,0,1,1,0,1,0,2528.0
0,1,0,1,1,0,0,1,1,0,0,1,0,0,2531.8
1,1,0,0,0,1,1,1,1,0,0,0,0,1,2528.1
0,0,0,1,1,1,0,1,0,1,0,1,0,1,2534.6
0,1,1,1,0,0,1,1,1,1,1,0,0,1,2526.6
1,1,1,1,1,1,1,1,1,1,1,1,0,1,2509.4
1,1,0,1,1,1,0,0,1,1,1,0,0,0,2513.0
0,1,0,1,0,0,1,1,0,1,0,0,0,1,2507.2
0,0,1,0,0,0,1,0,0,0,0,1,0,1,2517.2
0,1,0,0,1,0,0,1,0,1,0,1,1,0,2526.2
0,0,1,0,1,1,1,1,0,0,0,0,1,1,2511.5
0,0,0,0,0,0,0,0,1,1,0,0,0,0,2525.3
0,0,0,0,0,0,1,1,1,1,0,0,1,0,2506.2
1,1,1,1,1,0,1,0,1,0,1,0,0,0,2519.5
0,0,1,0,1,1,0,1,0,0,0,0,1,1,2521.5
0,0,1,0,0,1,0,0,1,0,0,1,1,0,2527.6
1,0,0,0,1,0,0,1,1,0,1,1,1,0,2525.4
1,0,0,1,1,0,0,0,0,0,1,0,0,1,2530.9
0,0,0,1,0,1,1,0,0,1,0,0,0,0,2541.6
0,1,1,1,0,0,0,0,0,1,0,1,0,0,2525.7
0,1,1,1,1,0,1,1,1,0,1,0,1,0,2514.6
1,0,1,0,0,1,1,0,0,0,0,0,0,0,2516.0
1,0,0,0,1,0,0,1,1,1,0,1,1,0,2518.1
0,1,1,0,0,0,1,0,0,0,1,1,0,1,2520.7
1,0,1,0,1,1,1,0,0,1,1,0,0,0,2524.3
1,0,0,1,0,0,1,0,0,1,1,1,0,1,2547.5
1,0,0,0,0,0,1,1,1,0,1,0,1,0,2515.3
1,1,0,0,0,0,0,1,0,0,1,1,1,0,2518.2
0,1,1,1,0,0,1,1,0,1,1,1,1,0,2516.1
1,1,0,1,1,0,0,1,0,0,1,1,0,0,2537.0
1,1,0,1,0,0,1,0,0,1,1,1,1,1,2532.7
0,1,0,0,0,1,0,1,0,1,1,1,1,0,2532.0
0,1,1,1,1,0,0,1,0,1,1,0,1,1,2533.0
0,0,0,0,0,0,1,0,1,0,1,0,1,1,2522.6
0,1,1,1,1,0,0,0,1,0,0,0,0,0,2528.7
0,1,1,1,1,1,1,1,0,0,1,0,1,1,2522.7
0,1,0,0,1,0,0,1,0,1,0,0,1,1,2509.8
1,0,1,0,0,0,0,1,0,0,1,1,0,0,2527.9
1,1,0,0,1,0,0,1,0,0,0,0,1,0,2491.9
0,1,0,0,1,1,1,0,1,0,1,1,1,1,2518.5
1,1,1,0,0,1,0,1,1,0,1,0,0,1,2505.3
1,0,0,0,0,0,1,0,1,1,1,0,1,1,2511.2
1,0,0,1,1,0,1,1,1,1,1,1,1,1,2519.1
1,1,0,1,1,1,0,0,1,1,0,1,0,0,2539.5
0,1,1,1,0,0,1,1,1,1,1,0,0,0,2520.2
0,0,0,1,0,1,0,1,0,0,1,0,0,0,2508.0
1,0,1,0,0,1,1,0,0,1,1,1,1,0,2530.3
0,1,1,0,0,0,0,1,1,1,0,0,1,0,2511.1
1,0,0,1,0,1,1,0,0,1,1,1,1,1,2523.5
1,0,1,0,1,0,0,0,1,1,1,0,1,0,2525.4
