SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwrite
0,0,1,1,1,1,0,1,0,0,0,1,0,1,25.208
0,0,1,1,1,1,1,0,1,0,0,1,0,0,24.684
0,1,1,1,0,0,0,0,0,1,1,1,1,1,24.712
0,1,1,0,1,1,0,0,1,1,1,1,0,1,24.845
1,0,0,1,1,1,1,0,0,1,0,1,0,0,25.418
0,1,0,1,1,1,1,1,1,0,0,1,1,1,24.547
1,0,1,1,0,0,0,0,0,0,1,1,1,0,24.693
1,1,0,0,0,1,0,1,0,1,1,1,0,1,24.564
0,1,0,0,0,0,0,1,1,0,0,0,0,1,21.389
0,1,1,0,1,0,1,0,0,0,0,1,1,1,24.49
1,0,1,1,0,0,0,0,1,1,1,0,0,0,21.483
1,1,1,0,1,1,0,1,1,0,0,1,0,1,24.829
0,1,1,1,1,1,1,0,0,1,0,0,0,0,21.733
1,0,1,0,1,1,0,1,1,1,1,1,1,0,24.697
0,0,1,0,1,0,0,1,1,0,0,1,0,0,24.524
1,0,0,1,1,1,0,1,0,1,0,0,1,0,21.826
1,0,1,1,1,0,0,0,1,0,0,1,0,1,25.005
1,0,0,0,1,1,1,1,1,1,1,1,0,0,24.987
0,0,0,0,1,0,0,1,0,0,0,0,1,0,21.296
0,1,1,0,0,0,1,0,0,1,1,1,1,1,24.592
0,1,1,1,0,1,1,0,1,1,0,1,0,0,24.49
0,0,0,0,1,1,1,1,1,0,0,1,1,1,24.771
1,1,1,0,0,1,1,0,1,0,0,1,1,1,24.698
0,1,1,0,0,1,1,0,1,0,0,0,0,0,21.641
1,1,1,0,0,1,0,1,1,1,1,0,1,0,21.904
0,1,1,1,0,1,0,0,1,0,0,0,1,0,21.28
1,1,1,1,0,1,0,0,1,0,1,1,1,1,25.1
1,1,1,0,1,0,1,1,0,1,1,1,0,0,25.162
1,1,0,1,0,0,1,0,0,0,0,1,0,0,25.05
1,1,0,0,1,0,0,0,1,1,1,0,1,1,21.615
1,1,0,0,0,1,0,1,0,0,0,1,0,0,24.702
0,1,0,1,1,1,1,0,0,1,1,0,0,0,21.465
0,1,0,0,1,1,0,0,0,0,0,1,1,1,25.219
0,0,1,0,1,1,1,1,0,1,0,0,1,0,21.373
0,0,0,0,0,1,1,1,1,0,1,0,1,1,21.302
0,1,1,1,1,1,0,0,0,1,0,1,0,1,24.897
1,1,1,1,1,0,1,0,1,0,0,1,1,1,25.578
0,1,1,1,0,1,1,0,0,1,1,0,1,1,22.239
0,0,0,0,0,0,1,0,1,0,1,0,0,0,21.818
0,0,0,1,0,0,0,0,1,0,1,0,0,1,21.764
0,1,0,0,0,0,0,0,0,1,1,0,1,1,21.515
1,1,0,0,1,1,1,1,1,1,1,0,0,1,21.771
0,1,0,1,0,0,1,0,1,0,0,0,1,0,21.82
1,1,1,1,0,0,1,0,0,1,1,1,0,1,24.829
1,1,0,1,0,0,0,0,0,1,1,0,1,0,21.425
1,0,0,1,1,1,1,1,0,0,0,0,0,1,21.75
0,0,0,1,0,1,1,1,1,0,0,1,0,1,24.564
1,1,0,0,0,0,1,0,1,1,0,0,1,0,21.656
0,0,0,1,1,1,0,1,1,0,1,0,1,0,21.123
1,1,0,0,1,1,1,1,0,0,1,0,1,1,21.672
0,1,0,1,0,1,0,1,1,1,0,1,0,1,25.434
0,0,1,1,1,0,0,0,0,1,1,1,1,1,24.931
1,0,0,0,1,0,1,1,1,0,0,1,1,0,24.353
0,0,1,1,1,1,1,1,0,0,1,1,0,1,25.019
0,0,1,1,0,0,1,1,1,1,1,0,1,1,21.22
0,1,0,0,1,1,1,0,0,1,1,1,1,1,24.854
1,0,1,0,1,1,0,1,1,0,0,0,0,1,21.459
0,1,1,0,1,0,1,1,0,0,0,0,0,0,21.34
1,0,0,0,0,0,1,1,0,0,0,1,1,0,24.76
1,1,1,1,1,1,1,0,1,0,1,0,0,0,21.991
0,0,0,1,0,1,1,0,1,1,0,0,0,1,22.364
1,0,0,1,1,0,0,1,0,1,1,0,0,0,21.712
1,0,0,1,0,0,1,0,0,0,1,0,1,0,21.298
1,1,1,0,0,1,0,0,0,0,0,1,1,0,24.559
1,1,0,1,1,1,1,0,0,0,1,0,1,1,21.848
1,0,1,1,0,1,0,1,0,1,1,1,1,0,25.157
1,0,1,1,1,0,0,0,1,1,1,1,1,0,24.638
1,0,1,0,0,1,0,0,1,0,1,0,0,0,21.955
0,0,1,0,0,0,1,1,1,1,0,1,1,1,24.921
0,1,1,1,0,1,0,1,1,0,0,0,0,0,21.614
0,0,1,0,0,0,1,1,1,0,1,1,1,1,24.452
0,1,0,0,1,0,0,1,1,0,1,1,0,1,24.67
1,1,1,1,0,1,1,0,1,0,1,1,1,0,24.733
1,1,0,0,1,0,1,1,0,1,1,0,0,1,21.986
1,0,1,1,1,1,0,1,1,1,1,1,1,1,24.79
0,0,1,1,1,0,1,0,1,1,1,1,1,0,24.516
0,1,0,1,1,1,1,1,1,0,1,0,1,1,21.214
0,0,0,0,0,1,1,0,1,1,1,0,1,0,21.656
1,0,0,0,0,0,1,1,0,1,1,0,1,0,21.767
0,0,0,1,0,0,0,0,0,1,0,0,1,1,21.565
1,1,0,1,0,0,1,1,1,0,0,1,1,1,25.177
1,0,0,0,1,1,1,1,0,0,0,1,0,1,24.995
1,0,1,0,1,0,1,1,0,1,0,1,0,0,24.9
1,0,1,0,1,1,0,1,0,1,1,1,0,1,24.843
1,0,1,1,0,0,0,0,1,1,1,1,1,0,25.749
0,0,1,0,1,1,1,0,0,0,0,0,1,0,21.157
0,1,0,1,1,1,1,1,1,1,1,0,1,0,21.453
0,1,0,1,0,0,0,0,0,0,1,0,1,0,22.608
1,0,0,1,0,0,1,1,0,1,1,1,0,1,25.007
0,1,0,0,0,0,0,0,1,1,0,0,0,1,21.839
0,0,1,0,0,1,1,0,1,1,1,1,0,0,25.474
1,0,1,1,0,1,1,1,1,0,0,0,1,1,21.229
0,1,0,0,1,1,1,1,0,0,0,1,1,0,24.782
1,1,0,0,0,0,0,1,1,1,0,1,0,0,24.966
0,0,1,1,0,1,1,1,0,0,0,1,1,0,24.426
1,0,1,0,0,0,1,1,1,0,1,0,0,1,21.539
