SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwritebatch.2
1,0,1,0,1,0,0,0,1,1,1,0,1,0,17.694
1,0,1,1,1,1,1,0,0,1,1,1,1,0,17.916
0,1,1,0,1,1,1,1,0,1,0,1,0,0,17.875
0,0,1,0,0,0,0,0,1,0,1,1,0,1,17.639
0,1,1,1,0,0,0,0,0,0,0,1,0,1,17.551
0,0,1,1,0,0,1,0,0,1,0,0,1,0,17.641
0,1,1,0,0,1,1,0,0,1,0,1,0,0,17.879
0,1,0,1,0,0,0,1,0,0,1,1,0,0,17.567
0,0,1,1,0,1,0,1,0,1,0,1,1,1,17.971
1,1,0,0,0,0,1,1,0,1,1,1,1,0,18.045
0,1,1,1,1,0,1,1,1,1,0,0,0,0,17.799
0,1,0,0,0,0,1,0,0,1,1,0,0,0,17.549
