SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandsync
0,0,1,0,1,1,1,0,0,0,0,0,1,0,2583.0
0,1,0,1,1,1,1,1,1,1,1,0,1,0,2554.0
0,1,0,1,0,0,0,0,0,0,1,0,1,0,2590.1
1,0,0,1,0,0,1,1,0,1,1,1,0,1,2593.7
0,1,0,0,0,0,0,0,1,1,0,0,0,1,2578.9
0,0,1,0,0,1,1,0,1,1,1,1,0,0,2544.3
1,0,1,1,0,1,1,1,1,0,0,0,1,1,2587.4
0,1,0,0,1,1,1,1,0,0,0,1,1,0,2566.4
1,1,0,0,0,0,0,1,1,1,0,1,0,0,2572.8
0,0,1,1,0,1,1,1,0,0,0,1,1,0,2573.6
1,0,1,0,0,0,1,1,1,0,1,0,0,1,2562.0
0,1,1,0,0,1,0,0,0,1,1,0,0,1,2572.3
1,1,0,0,0,0,0,0,0,0,0,1,1,1,2571.9
1,0,0,1,0,1,0,0,1,0,1,1,0,0,2575.0
1,1,1,0,1,0,1,1,0,1,0,0,0,1,2580.4
1,1,0,0,1,1,0,1,0,0,0,1,1,1,2567.2
1,0,1,1,0,1,1,1,1,1,0,1,0,1,2568.0
0,0,0,0,1,0,1,1,1,0,1,0,0,1,2576.2
0,1,1,1,0,1,0,1,0,1,1,1,0,1,2571.3
0,0,1,0,1,1,0,0,0,0,0,1,1,1,2575.7
0,1,0,1,0,1,0,0,1,0,1,1,1,1,2582.0
0,1,1,0,0,0,1,1,0,0,0,0,0,1,2570.9
0,1,1,1,1,0,1,0,0,0,0,0,0,1,2587.9
1,1,1,1,0,1,0,0,1,0,0,1,0,1,2565.0
1,0,1,0,0,1,0,1,1,0,1,1,0,0,2587.5
1,0,1,0,0,0,0,1,1,0,1,0,1,0,2574.5
0,1,1,0,0,1,0,0,1,0,1,0,1,1,2547.4
0,0,0,0,0,0,1,0,1,0,1,1,1,0,2592.0
0,0,1,0,1,1,1,0,1,0,0,1,0,0,2578.4
0,0,1,1,1,0,0,0,1,0,0,1,0,0,2576.7
1,0,1,1,1,0,0,1,0,0,1,1,1,0,2584.2
0,0,1,0,1,1,0,1,0,1,0,0,1,1,2548.3
1,1,0,0,1,0,0,1,1,1,1,0,1,1,2570.0
1,1,0,0,1,1,0,1,0,0,0,1,0,1,2580.8
1,0,1,1,0,0,0,0,0,1,0,0,1,0,2578.6
1,1,0,0,0,1,0,0,1,1,0,0,1,0,2582.3
0,1,0,1,1,0,0,0,0,0,0,1,1,0,2557.8
1,0,0,1,0,1,0,0,0,0,1,0,0,1,2554.4
1,1,1,0,0,1,0,1,1,0,0,0,1,0,2572.2
1,0,0,1,0,1,1,0,1,1,1,1,1,1,2557.7
1,1,0,1,1,0,1,1,1,1,1,1,1,0,2573.4
1,0,0,1,1,1,1,1,0,1,1,0,0,1,2579.6
0,0,1,0,1,1,0,0,0,1,0,0,1,0,2570.4
1,1,1,1,0,0,0,1,0,0,0,0,0,0,2562.6
1,1,1,1,0,0,1,1,0,0,0,0,0,1,2573.2
0,1,1,0,0,0,1,1,1,1,0,1,0,1,2580.0
0,0,0,1,1,0,1,0,0,0,0,1,1,0,2580.0
0,1,0,1,1,0,1,0,1,0,0,0,1,0,2560.5
0,0,0,0,1,0,0,1,1,0,1,1,0,1,2554.2
1,1,0,0,0,1,1,1,1,1,1,0,0,0,2560.4
0,1,0,1,1,1,0,1,0,1,0,0,0,1,2571.6
1,0,0,1,0,0,0,1,0,0,1,1,0,0,2579.5
0,0,0,1,1,0,1,1,1,0,1,1,0,1,2568.9
1,1,0,1,0,0,1,0,0,1,1,0,1,0,2579.4
0,0,0,1,0,1,0,1,1,0,1,1,0,1,2567.1
1,1,1,0,0,1,1,1,1,1,0,1,1,0,2569.1
0,1,0,0,0,1,1,1,0,1,1,0,1,0,2571.6
1,1,0,0,0,0,1,1,1,1,1,1,0,1,2571.7
1,0,0,1,1,1,1,1,1,0,0,0,1,1,2563.5
1,1,0,0,1,0,0,0,0,1,0,0,1,1,2554.0
1,0,0,1,1,1,1,1,1,1,1,1,0,1,2593.5
1,1,0,0,0,1,0,0,1,1,1,0,1,1,2571.2
1,0,1,1,1,0,1,0,0,0,0,1,1,1,2562.4
1,1,1,1,1,1,0,0,0,1,1,0,0,0,2566.4
