SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrand100K
1,1,1,1,1,1,0,1,0,0,0,1,1,0,445.42
1,1,1,1,0,0,1,0,1,1,0,0,1,0,441.47
0,1,0,1,0,0,1,0,1,0,0,1,0,0,452.94
0,1,0,1,1,0,1,0,1,1,1,0,0,1,449.08
0,0,1,1,0,1,0,1,1,0,0,0,0,0,441.73
0,0,1,1,0,1,0,1,0,1,0,0,1,0,443.51
0,0,0,1,1,0,0,0,0,1,1,0,1,0,451.94
0,1,1,0,1,0,0,1,0,0,0,1,1,0,450.14
0,1,1,1,0,1,0,1,0,0,1,1,1,1,445.47
1,1,0,0,1,1,1,0,0,1,1,1,1,1,452.52
1,1,1,0,0,0,0,1,1,0,0,1,1,1,453.32
1,1,1,1,1,1,0,1,1,0,0,0,1,0,445.46
1,1,0,0,0,1,0,1,1,0,1,1,1,0,447.79
0,1,0,0,0,1,0,1,1,0,0,1,0,0,445.74
1,0,1,1,1,1,0,1,1,0,0,1,1,1,456.49
1,0,0,1,1,1,0,0,1,0,1,0,1,1,442.26
0,1,0,1,1,1,0,1,1,0,0,1,1,0,445.55
1,1,1,1,1,1,1,1,1,0,0,0,1,0,451.74
0,0,1,1,1,1,0,1,1,1,1,1,1,1,442.98
0,1,1,0,0,0,0,0,0,1,0,1,1,1,446.82
1,0,1,0,0,0,1,1,1,0,0,0,0,1,450.45
1,1,0,1,0,0,0,0,0,0,0,0,1,0,442.76
0,1,1,0,1,1,1,1,1,1,0,0,1,1,440.86
1,1,1,1,1,0,1,0,1,0,0,0,1,1,449.06
1,1,1,0,0,1,0,0,0,1,1,1,0,0,446.83
0,1,1,1,1,0,1,0,0,1,1,1,1,0,447.06
1,1,1,1,1,0,1,0,1,1,0,1,1,0,444.67
1,0,0,0,1,0,1,1,1,1,0,0,0,0,441.43
0,1,0,0,0,1,0,1,1,0,0,1,1,1,446.06
0,1,0,0,1,0,0,1,1,1,0,0,1,1,442.52
0,1,1,0,0,0,0,0,1,1,0,1,0,1,442.68
1,0,0,1,1,1,0,1,0,1,1,1,1,0,457.98
0,0,1,0,1,0,0,1,1,1,1,0,1,0,439.77
0,1,1,1,1,0,0,1,1,1,1,1,1,1,447.68
1,0,0,1,1,1,0,1,0,1,1,1,0,1,445.98
0,0,0,1,0,0,1,0,0,1,1,1,1,1,446.17
1,0,0,0,1,1,1,0,0,0,0,0,0,0,447.91
1,1,0,1,0,1,1,0,1,1,0,0,0,1,440.54
1,1,1,0,1,0,1,1,0,0,1,1,0,1,465.42
