SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq100K
0,1,1,1,0,0,1,1,1,1,1,0,0,0,435.27
0,0,0,1,0,1,0,1,0,0,1,0,0,0,435.64
1,0,1,0,0,1,1,0,0,1,1,1,1,0,434.12
0,1,1,0,0,0,0,1,1,1,0,0,1,0,438.97
1,0,0,1,0,1,1,0,0,1,1,1,1,1,434.52
1,0,1,0,1,0,0,0,1,1,1,0,1,0,443.8
1,0,1,1,1,1,1,0,0,1,1,1,1,0,444.2
0,1,1,0,1,1,1,1,0,1,0,1,0,0,445.68
0,0,1,0,0,0,0,0,1,0,1,1,0,1,433.41
0,1,1,1,0,0,0,0,0,0,0,1,0,1,435.92
0,0,1,1,0,0,1,0,0,1,0,0,1,0,447.84
0,1,1,0,0,1,1,0,0,1,0,1,0,0,439.31
0,1,0,1,0,0,0,1,0,0,1,1,0,0,437.59
0,0,1,1,0,1,0,1,0,1,0,1,1,1,433.95
1,1,0,0,0,0,1,1,0,1,1,1,1,0,431.32
0,1,1,1,1,0,1,1,1,1,0,0,0,0,433.13
0,1,0,0,0,0,1,0,0,1,1,0,0,0,430.99
1,0,1,0,0,1,0,1,0,0,1,1,1,0,437.9
